model,image_id,run,n_points,x_divisor,x_rescaled_ok,x_spread,x_n_plausible,x_disagreement,y_divisor,y_rescaled_ok,y_spread,y_n_plausible,y_disagreement,mixed_axes
gemini-3.1-flash-lite,00398c,1,40,1.0,1.0,0.22847100472488846,1,0.0,1.0,1.0,0.22525319087640025,1,0.0,False
gemini-3.1-flash-lite,005f83,1,40,1000.0,1.0,0.22981990231483432,2,0.460546875,1000.0,1.0,0.2321588895562692,2,0.12534722222222217,False
gemini-3.1-flash-lite,003eb9,1,50,1.0,1.0,0.2347758079530342,1,0.0,1000.0,1.0,0.22963919526073942,1,0.0,True
gemini-3.1-flash-lite,009085,1,42,1.0,1.0,0.19699457846747517,1,0.0,1000.0,1.0,0.34467972662397517,1,0.0,True
gemini-3.1-flash-lite,009d6b,1,50,1.0,1.0,0.2828992753613908,1,0.0,100.0,1.0,0.33189884001002473,1,0.0,True
gemini-3.1-flash-lite,006450,1,40,1.0,1.0,0.28128055389592793,1,0.0,1.0,1.0,0.3079979707725361,1,0.0,False
gemini-3.1-flash-lite,00b3a0,1,49,1.0,1.0,0.22747880248719418,1,0.0,1000.0,1.0,0.1526478772447293,2,0.1522713643178411,True
gemini-3.1-flash-lite,00b8f8,1,47,1.0,1.0,0.35266649009617956,1,0.0,1.0,1.0,0.24709063112741877,1,0.0,False
gemini-3.1-flash-lite,00d34f,1,40,1.0,1.0,0.23043640662881376,1,0.0,1000.0,1.0,0.29622203559998705,2,0.45999999999999996,True
gemini-3.1-flash-lite,00d37d,1,40,1.0,1.0,0.19548257594987845,1,0.0,1000.0,1.0,0.25668950114876143,2,0.4288541666666667,True
gemini-3.1-flash-lite,00f742,1,40,1.0,1.0,0.25937894575312004,1,0.0,1.0,1.0,0.2441572239357255,1,0.0,False
gemini-3.1-flash-lite,00fcd9,1,40,1.0,1.0,0.2719903490934927,1,0.0,1.0,1.0,0.235048399271299,1,0.0,False
gemini-3.1-flash-lite,012baa,1,40,1.0,1.0,0.2712211966274023,1,0.0,1000.0,1.0,0.22884762261164088,2,0.03749999999999998,True
gemini-3.1-flash-lite,0136d8,1,35,1.0,1.0,0.3310066279624957,1,0.0,1000.0,1.0,0.28509790656286943,1,0.0,True
gemini-3.1-flash-lite,013aca,1,49,1000.0,1.0,0.25144646106512236,1,0.0,1000.0,1.0,0.2372613775272729,1,0.0,False
gemini-3.1-flash-lite,014b22,1,40,1.0,1.0,0.2072775916494593,1,0.0,1000.0,1.0,0.3071592003749847,1,0.0,True
gemini-3.1-flash-lite,00ee0c,1,41,1.0,1.0,0.2691704046179468,1,0.0,10.0,0.975609756097561,0.26060676008641154,1,0.0,True
gemini-3.1-flash-lite,016f77,1,41,1.0,1.0,0.2093205915659985,1,0.0,1000.0,1.0,0.19588691513654827,2,0.034791666666666665,True
gemini-3.1-flash-lite,0186f0,1,40,1.0,1.0,0.20701434129064586,1,0.0,1.0,1.0,0.23619576096958217,1,0.0,False
gemini-3.1-flash-lite,018c0a,1,50,1.0,1.0,0.15787387370936334,1,0.0,1000.0,1.0,0.20312913725017395,1,0.0,True
gemini-3.1-flash-lite,01ca85,1,43,1.0,1.0,0.17430663072394026,1,0.0,1000.0,1.0,0.24826019820756945,2,0.03729166666666661,True
gemini-3.1-flash-lite,0197c7,1,50,1000.0,1.0,0.21288289832675616,1,0.0,1000.0,1.0,0.21819553157661134,1,0.0,False
gemini-3.1-flash-lite,01d4b9,1,50,1.0,1.0,0.29271829461104754,1,0.0,1.0,1.0,0.2557831112485733,1,0.0,False
gemini-3.1-flash-lite,01e2cd,1,30,1.0,1.0,0.2404218514749994,1,0.0,1000.0,1.0,0.31177431296086944,2,0.4647916666666666,True
gemini-3.1-flash-lite,020ba5,1,40,1.0,1.0,0.22242920221949275,1,0.0,1000.0,1.0,0.28002229263935396,2,0.4647916666666666,True
gemini-3.1-flash-lite,026a98,1,42,1.0,1.0,0.1951648251015436,1,0.0,1000.0,1.0,0.24338263059487922,1,0.0,True
gemini-3.1-flash-lite,02622b,1,50,1.0,1.0,0.2657298628306574,1,0.0,100.0,1.0,0.2981366129813646,1,0.0,True
gemini-3.1-flash-lite,029a48,1,30,1.0,1.0,0.17459922362052155,1,0.0,1.0,1.0,0.24234066930666012,1,0.0,False
gemini-3.1-flash-lite,027990,1,49,1.0,1.0,0.23010943922220722,1,0.0,1000.0,1.0,0.32528141150095713,2,0.011159420289855115,True
gemini-3.1-flash-lite,02a592,1,41,1.0,1.0,0.25144933839621236,1,0.0,1.0,1.0,0.3550333245077219,1,0.0,False
gemini-3.1-flash-lite,02f37c,1,40,1.0,1.0,0.2140181067106239,1,0.0,1000.0,1.0,0.27793184303890045,2,0.036666666666666625,True
gemini-3.1-flash-lite,026dd2,1,45,1000.0,1.0,0.2792594085862652,2,0.02182031250000005,1000.0,1.0,0.2301118847564655,1,0.0,False
gemini-3.1-flash-lite,030bb3,1,48,1.0,1.0,0.32965233158924,1,0.0,1000.0,1.0,0.24006907281493428,1,0.0,True
gemini-3.1-flash-lite,03474c,1,44,1.0,1.0,0.2352403378014188,1,0.0,1.0,1.0,0.24091798868645584,1,0.0,False
gemini-3.1-flash-lite,03340d,1,50,1.0,1.0,0.09453909244328508,1,0.0,1.0,1.0,0.18131177567935294,1,0.0,False
gemini-3.1-flash-lite,035da4,1,41,1.0,1.0,0.2679367927807592,1,0.0,1000.0,1.0,0.31112196460393554,2,0.03895833333333332,True
gemini-3.1-flash-lite,037d19,1,47,1000.0,1.0,0.27471821358696746,2,0.02085276073619624,1000.0,1.0,0.2815768748349709,1,0.0,False
gemini-3.1-flash-lite,038d71,1,40,1.0,1.0,0.19842126902124177,1,0.0,1.0,1.0,0.18829348767283483,1,0.0,False
gemini-3.1-flash-lite,039978,1,40,1.0,1.0,0.2537222891273055,1,0.0,1.0,1.0,0.29946243503985603,1,0.0,False
gemini-3.1-flash-lite,042af0,1,48,1.0,1.0,0.20286207342264187,1,0.0,1000.0,1.0,0.2834919041564013,1,0.0,True
gemini-3.1-flash-lite,045d43,1,42,1.0,1.0,0.2229802264908162,1,0.0,1000.0,1.0,0.1867378690732861,2,0.05937500000000001,True
gemini-3.1-flash-lite,045f81,1,50,1.0,1.0,0.27959145981234834,1,0.0,1000.0,1.0,0.23993824955600557,1,0.0,True
gemini-3.1-flash-lite,0529f2,1,46,1.0,1.0,0.24945005675055368,1,0.0,1.0,1.0,0.2290524576497435,1,0.0,False
gemini-3.1-flash-lite,04741e,1,39,1.0,1.0,0.25373501840714646,1,0.0,1.0,1.0,0.2555223086740408,1,0.0,False
gemini-3.1-flash-lite,05490b,1,44,1.0,1.0,0.31633555256749407,1,0.0,1000.0,1.0,0.25286853781630364,2,0.4647916666666666,True
gemini-3.1-flash-lite,056cfb,1,50,1.0,1.0,0.2742748409898363,1,0.0,1000.0,1.0,0.327361818176769,1,0.0,True
gemini-3.1-flash-lite,05890e,1,50,1.0,1.0,0.2239054264639426,1,0.0,1000.0,1.0,0.2804086303950005,1,0.0,True
gemini-3.1-flash-lite,05a1ad,1,41,1.0,1.0,0.2571472101460586,1,0.0,1.0,1.0,0.26243653095197755,1,0.0,False
gemini-3.1-flash-lite,05e980,1,40,1.0,1.0,0.289250756265217,1,0.0,1.0,1.0,0.3190445697704319,1,0.0,False
gemini-3.1-flash-lite,05dac7,1,40,1.0,1.0,0.16919496889683217,1,0.0,1000.0,1.0,0.26547024197638425,1,0.0,True
gemini-3.1-flash-lite,0616a4,1,40,1.0,1.0,0.24780927646074916,1,0.0,1000.0,1.0,0.25951445046470917,2,0.43125,True
gemini-3.1-flash-lite,070781,1,40,1.0,1.0,0.29626582236228327,1,0.0,1000.0,1.0,0.2794949686488113,1,0.0,True
gemini-3.1-flash-lite,0632d7,1,48,1.0,1.0,0.29934817787523316,1,0.0,1000.0,1.0,0.2651728177319253,1,0.0,True
gemini-3.1-flash-lite,0720ce,1,50,1000.0,1.0,0.04090232267243513,2,0.0,1000.0,1.0,0.10376897416858277,1,0.0,False
gemini-3.1-flash-lite,064f44,1,40,1.0,1.0,0.24008279821761494,1,0.0,1.0,1.0,0.1894134036967817,1,0.0,False
gemini-3.1-flash-lite,072634,1,43,1.0,1.0,0.1948637387768765,1,0.0,1.0,1.0,0.29173303991239635,1,0.0,False
gemini-3.1-flash-lite,074c75,1,50,1000.0,1.0,0.19818466136409246,2,0.0,1000.0,1.0,0.34717126897253464,1,0.0,False
gemini-3.1-flash-lite,075286,1,40,1.0,1.0,0.26080823894194755,1,0.0,1.0,1.0,0.3001016494456503,1,0.0,False
gemini-3.1-flash-lite,07a2c8,1,49,1.0,1.0,0.27237153986196966,1,0.0,100.0,1.0,0.28462898828930605,1,0.0,True
gemini-3.1-flash-lite,07950c,1,40,1.0,1.0,0.18838375062621512,1,0.0,1.0,1.0,0.24600762183314565,1,0.0,False
gemini-3.1-flash-lite,07e9bb,1,40,1.0,1.0,0.265,1,0.0,1920.0,0.55,0.510556156534905,0,0.0,True
gemini-3.1-flash-lite,07b304,1,35,1000.0,1.0,0.17183285661434164,2,0.15418839360807401,1000.0,1.0,0.2080847551026323,1,0.0,False
gemini-3.1-flash-lite,06256f,1,50,1.0,1.0,0.1693734335720924,1,0.0,10.0,0.64,0.48377341803782486,0,0.0,True
gemini-3.1-flash-lite,085001,1,40,1000.0,1.0,0.2657337718469371,1,0.0,1000.0,1.0,0.2497118339206214,1,0.0,False
gemini-3.1-flash-lite,08a5d7,1,50,1.0,1.0,0.36324669303381135,1,0.0,1000.0,1.0,0.29812655031043445,1,0.0,True
gemini-3.1-flash-lite,08aaa5,1,41,1.0,1.0,0.2770113938344392,1,0.0,1000.0,1.0,0.23014164223534012,2,0.0,True
gemini-3.1-flash-lite,08b92b,1,40,1.0,1.0,0.16033383142680774,1,0.0,1000.0,1.0,0.28329214161356464,0,0.0,True
gemini-3.1-flash-lite,08d1eb,1,40,1.0,1.0,0.26102743988898947,1,0.0,1000.0,1.0,0.17252350564488306,1,0.0,True
gemini-3.1-flash-lite,09094b,1,40,1.0,1.0,0.19321215670862948,1,0.0,1.0,1.0,0.2947473494367676,1,0.0,False
gemini-3.1-flash-lite,08d885,1,40,1.0,1.0,0.22259478318235582,1,0.0,1000.0,1.0,0.24073000955427223,2,0.03749999999999998,True
