model,image_id,CC_chosen,CC_alt
gemini-3.1-flash-lite,00398c,0.3724456198595949,0.3724456198595949
gemini-3.1-flash-lite,006450,0.14944579153000365,0.14944579153000365
gemini-3.1-flash-lite,003eb9,0.28243526337378855,0.28243526337378855
gemini-3.1-flash-lite,009d6b,0.13180586498716962,0.13180586498716962
gemini-3.1-flash-lite,00b8f8,0.050509130820902415,0.050509130820902415
gemini-3.1-flash-lite,00f742,0.6006008434407135,0.6006008434407135
gemini-3.1-flash-lite,00b3a0,0.6116099380345559,0.6004409637900371
gemini-3.1-flash-lite,009085,0.0972864678725619,0.0972864678725619
gemini-3.1-flash-lite,00fcd9,0.16997538551438326,0.16997538551438326
gemini-3.1-flash-lite,013aca,0.44557808841757357,0.44557808841757357
gemini-3.1-flash-lite,012baa,0.5956051907593416,0.5386729520855034
gemini-3.1-flash-lite,0136d8,0.5548042786830645,0.5548042786830645
gemini-3.1-flash-lite,014b22,0.1921210923740806,0.1921210923740806
gemini-3.1-flash-lite,016f77,0.5188717708956493,0.3741448897169117
gemini-3.1-flash-lite,018c0a,0.7020309539276577,0.7020309539276577
gemini-3.1-flash-lite,0197c7,0.40831271407365044,0.40831271407365044
gemini-3.1-flash-lite,01ca85,0.5901151019441382,0.5841118305417163
gemini-3.1-flash-lite,00d34f,0.5033392301471997,0.7375034363625559
gemini-3.1-flash-lite,00d37d,0.15735207775624738,0.3154547108499408
gemini-3.1-flash-lite,01d4b9,0.2668651087758557,0.2668651087758557
gemini-3.1-flash-lite,005f83,0.5907912644182329,-0.014876092951611282
gemini-3.1-flash-lite,027990,0.14818682008244355,0.15043307771397363
gemini-3.1-flash-lite,02622b,0.21726942404849922,0.21726942404849922
gemini-3.1-flash-lite,026dd2,0.23934098661193548,0.25052883212252686
gemini-3.1-flash-lite,029a48,0.41152993447969555,0.41152993447969555
gemini-3.1-flash-lite,026a98,0.37741899408040624,0.37741899408040624
gemini-3.1-flash-lite,0186f0,0.28140293240139214,0.28140293240139214
gemini-3.1-flash-lite,02f37c,0.5013564206772255,0.4673636034981899
gemini-3.1-flash-lite,01e2cd,0.19197874919379443,0.25342864645398605
gemini-3.1-flash-lite,030bb3,0.1083294794922494,0.1083294794922494
gemini-3.1-flash-lite,035da4,0.20677463877496266,0.09275724207115418
gemini-3.1-flash-lite,03474c,0.3766116462161331,0.3766116462161331
gemini-3.1-flash-lite,037d19,0.671847559381535,0.6442807118172202
gemini-3.1-flash-lite,020ba5,0.40941310497855754,0.4255922355533577
gemini-3.1-flash-lite,038d71,0.6336228100906738,0.6336228100906738
gemini-3.1-flash-lite,045f81,0.4141555555018871,0.4141555555018871
gemini-3.1-flash-lite,042af0,0.03453705446691613,0.03453705446691613
gemini-3.1-flash-lite,0529f2,0.44063449740303556,0.44063449740303556
gemini-3.1-flash-lite,02a592,0.32200370967497854,0.32200370967497854
gemini-3.1-flash-lite,03340d,-0.018142458442882037,-0.018142458442882037
gemini-3.1-flash-lite,056cfb,0.4349757161194937,0.4349757161194937
gemini-3.1-flash-lite,05e980,0.23504195312094636,0.23504195312094636
gemini-3.1-flash-lite,039978,0.22358531646521035,0.22358531646521035
gemini-3.1-flash-lite,04741e,0.18525179337997671,0.18525179337997671
gemini-3.1-flash-lite,05890e,0.49344308670382186,0.49344308670382186
gemini-3.1-flash-lite,05dac7,0.6520421094360516,0.6520421094360516
gemini-3.1-flash-lite,045d43,0.5479552429157795,0.5410607720111534
gemini-3.1-flash-lite,06256f,0.07373709196210271,0.07373709196210271
gemini-3.1-flash-lite,05a1ad,0.09477123885535743,0.09477123885535743
gemini-3.1-flash-lite,05490b,0.19176002924346824,0.30406524035768834
gemini-3.1-flash-lite,0632d7,0.485945504851066,0.485945504851066
gemini-3.1-flash-lite,0720ce,0.4196158580166258,0.4196158580166258
gemini-3.1-flash-lite,070781,0.3203128942285179,0.3203128942285179
gemini-3.1-flash-lite,072634,0.3210625151185124,0.3210625151185124
gemini-3.1-flash-lite,074c75,0.13932225431622836,0.13932225431622836
gemini-3.1-flash-lite,085001,0.6804113023526827,0.6804113023526827
gemini-3.1-flash-lite,075286,0.5550685748293626,0.5550685748293626
gemini-3.1-flash-lite,07950c,0.8752425246372311,0.8752425246372311
gemini-3.1-flash-lite,07b304,0.6147934012706356,0.4825344235811671
gemini-3.1-flash-lite,0616a4,0.20713120765237408,0.12859519752913257
gemini-3.1-flash-lite,07a2c8,0.41726463538409087,0.41726463538409087
gemini-3.1-flash-lite,064f44,-0.10085751908807469,-0.10085751908807469
gemini-3.1-flash-lite,08a5d7,0.4679044017397133,0.4679044017397133
gemini-3.1-flash-lite,08d885,0.41384487985870244,0.31901912727333936
