image_id,category,gt_entropy_bits,gt_entropy_norm,height,width
fbd704,desktop,16.71668658472051,0.8958570945771078,667,621
2021b7,desktop,17.782824057951842,0.9042517606748567,667,1247
7613f2,desktop,17.591969351879044,0.8979931959414635,665,1187
d99b18,desktop,17.472222137451812,0.8918806236854692,665,1187
460bf9,desktop,17.648370245395455,0.8932164625127477,866,1024
a2da71,desktop,17.435067100988924,0.8979857632882394,668,1047
95b2d2,desktop,17.217110965137252,0.8789128647011546,665,1186
2e93e6,desktop,17.976570452445287,0.9175808161329634,666,1186
8b0b52,desktop,18.50818695151811,0.9443904908788658,668,1188
536e7f,mobile,17.05525177698277,0.8984152832905582,960,540
4adea3,mobile,17.907088736275977,0.9432872882957029,960,540
58a60d,mobile,17.14321199221782,0.903048741812428,960,540
cced5f,poster,15.775370488400311,0.9349655937984449,400,300
b2d2fa,poster,16.869437018606362,0.9275998597835452,640,466
05e980,poster,17.12043468158101,0.9535038353647475,304,836
708a08,poster,18.383402978964995,0.9476262289058098,946,731
085001,poster,15.61172005382216,0.888611443831502,360,540
9afe5f,poster,18.15099325930983,0.9610440430899738,792,612
65576e,poster,17.609524630560635,0.9349136727368856,495,945
c27e4e,mobile,20.354029017931076,0.9699920896267339,1920,1080
9efc81,web,18.646095316124878,0.9520618339421528,768,1024
f639bf,mobile,19.448833044997087,0.9268540488715383,1920,1080
13af7a,mobile,19.74270693298893,0.9408589098476535,1920,1080
207fd4,mobile,19.950751272524226,0.9507734758268548,1920,1080
e3d203,mobile,19.805916599039758,0.9438712311921518,1920,1080
17a8d1,mobile,19.94096345665639,0.950307027441714,1920,1080
166bc9,web,18.473906299411016,0.9252782678616263,800,1280
4e81ec,web,18.186201012136262,0.927411241212905,800,1000
5c88b8,web,17.865758722243868,0.9122181735903765,768,1024
69a8c4,web,18.638029990322732,0.9334985154898547,800,1280
27d67e,web,18.300781827136756,0.916607209925412,800,1280
6eb097,poster,19.720599632182832,0.9315384740776957,1152,2048
781b7e,web,18.258773734365978,0.9145032057865389,800,1280
1fdbf2,desktop,17.64860027818395,0.9288933428643507,666,787
72062c,web,18.90868797671258,0.9019583721869728,1080,1894
3d6147,desktop,17.835793344437725,0.9103951088257698,666,1186
1bf5c6,desktop,17.303254092625252,0.8979135602431758,665,951
1b436f,desktop,17.960433832000028,0.9212499813828704,666,1110
a7ac1b,desktop,17.055475659301603,0.9234067174937977,670,542
29227b,web,19.07889898216103,0.9101437370249413,1080,1892
e2aa7e,desktop,17.70931940430767,0.9149961348554577,669,1002
9b4285,desktop,17.660203715928592,0.8802446608436405,665,1647
cccd2a,desktop,18.206196996270112,0.9295779135835713,665,1183
0529f2,desktop,18.08002372083255,0.9228041235108048,666,1187
cba28b,mobile,19.505357786909276,0.9295477933127353,1920,1080
8cf0d4,mobile,20.290359426695886,0.9669578500767413,1920,1080
840bb8,mobile,19.27433332553084,0.9185380861019447,1920,1080
3b078d,mobile,20.30022420101563,0.9674279659956916,1920,1080
a64332,mobile,20.273061179210153,0.9661334843842887,1920,1080
1e1131,poster,17.378547247593858,0.9105998080747092,556,1000
f30633,mobile,19.79507756705983,0.9433546860270409,1920,1080
3141d9,mobile,20.039004276307317,0.9549792630682891,1920,1080
3734cb,poster,17.55602089335045,0.9003158791618783,724,1024
58b56c,mobile,19.585268600623778,0.9333560249464044,1920,1080
98474c,poster,17.571315473113522,0.9284985014261274,832,598
32fcbf,poster,18.923361974655254,0.9435559971005995,908,1200
8da42b,poster,18.36210852739939,0.9330325569541106,800,1050
8770ed,mobile,20.06568047592167,0.9562505446698054,1920,1080
43a952,poster,18.937292554469888,0.9378520348500784,1198,1000
1b3eec,web,18.58587263823737,0.9308861787370516,800,1280
1ee232,web,18.750760345209642,0.9391446926336954,800,1280
183534,web,18.13779095821898,0.9249425547532837,800,1000
f04d2e,web,18.040816577697083,0.942782747582689,800,720
0ec997,poster,19.017426701491107,0.8983228188194075,1152,2048
026dd2,web,18.335083441154346,0.9361816975896283,768,1024
3b1c3e,web,18.692950894697056,0.9406358734955822,800,1200
a077e7,poster,19.588499330063,0.9252984754895651,1152,2048
caa82e,web,18.556081955451283,0.9294465814442108,800,1279
f7c681,poster,19.838011722827993,0.9454007571726224,1920,1080
5ac518,web,18.085547664709402,0.9100711290086346,800,1200
a76ed6,web,17.94248655716572,0.914982943239352,800,1000
afdcf4,desktop,16.869100944199506,0.8995805710448904,669,660
e7e220,poster,21.804155296247103,0.9566776574619157,3300,2200
f7681d,desktop,18.3265238013623,0.9352370294482251,668,1186
d98c2a,desktop,18.399334154600318,0.938778069792761,668,1189
e39798,desktop,17.878958149940317,0.9345822698396373,665,863
3b203e,desktop,17.830111794351467,0.9103980563503722,768,1024
7f066d,desktop,18.142945769053995,0.9257667398284274,669,1186
e78858,desktop,17.930227009431825,0.9135606780015937,712,1137
03474c,desktop,18.386806220661768,0.9383586272498431,667,1187
c807dc,desktop,17.94542759219692,0.9158775470175886,666,1188
533099,mobile,16.60204448755055,0.8745417948983143,960,540
722b8c,poster,16.60449110742725,0.9119001429042908,405,748
9aa231,mobile,17.906829624459103,0.9432736391265552,960,540
c6b002,mobile,20.090619992927454,0.9574390628837379,1920,1080
7c5f7f,mobile,20.274265677473707,0.9532259314871432,2340,1080
bae388,mobile,19.884145514895046,0.9475993102615515,1920,1080
83d7ce,mobile,18.918715231803237,0.9015907417928631,1920,1080
2b0b4e,mobile,19.587858149278897,0.9334794325385306,1920,1080
3f9682,mobile,19.84843917896345,0.9458976882695277,1920,1080
37cecc,mobile,19.353746106906385,0.9223225834946561,1920,1080
093c65,poster,19.58180736142505,0.9331910760490576,1920,1080
98b958,poster,17.697032951248666,0.9377066612719033,600,800
bccea2,web,17.237101245454447,0.9007819353720717,800,720
c143b6,poster,18.548498355045908,0.9328224674938167,790,1225
5cfc08,poster,19.439177348717216,0.9182449794882513,1152,2048
e7163d,web,18.119493572538904,0.9468942750764179,800,720
d07b98,web,18.02664682649598,0.942042260204393,800,720
4dae22,poster,19.41846438373279,0.9172665648276885,1152,2048
ead495,web,18.894518863768784,0.9463449366366108,800,1280
2b56f2,web,17.644613075090845,0.9009265692717632,768,1024
6b7c75,web,18.27253525630362,0.9151924610515181,800,1280
162809,poster,19.154930010802687,0.9048180383018672,1152,2048
adbe00,poster,19.571793748636274,0.9245093568967695,1152,2048
dda275,web,18.60536702198598,0.9362286221698924,800,1200
39b696,desktop,16.965754482581943,0.9326993466662366,666,449
271112,web,18.10196667243962,0.9066494165393607,800,1280
e9b8fa,web,18.388603915394757,0.9253210262927806,800,1200
ad9e6b,desktop,18.118356684547443,0.9215849679563698,809,1024
17e6bf,poster,19.47179013269691,0.9197855037923041,1152,2048
7caa99,desktop,18.27883403857855,0.9292009564958918,667,1252
72cfd2,desktop,18.465333458088892,0.9425873711721788,666,1185
306281,desktop,17.83113585865636,0.9084676157745802,657,1233
8e0c5b,desktop,18.587271769531412,0.939015927271145,888,1024
13bd83,desktop,17.158549039534453,0.8905653838546075,598,1055
4d3cc1,desktop,17.553010700649466,0.9055200502298223,669,1023
917a4f,mobile,17.821929709780623,0.9388013873008653,960,540
1a9f12,desktop,18.869175464290755,0.9402254189528533,1074,1024
8709e4,poster,18.074320398263346,0.930438544181752,732,962
226f76,mobile,20.46814580694086,0.9754304420303577,1920,1080
ff7d76,mobile,19.79638088359434,0.9434167969107208,1920,1080
03340d,mobile,19.35669917900846,0.9224633151687923,1920,1080
95d2d7,mobile,20.41237422820258,0.9727725903512395,1920,1080
20e9c6,mobile,19.837465809678406,0.945374741122618,1920,1080
8a770a,mobile,19.68982836274452,0.9383389274499345,1920,1080
1ad1cc,poster,16.62583947641845,0.9201354596167479,402,684
95fc3f,mobile,20.250974583233607,0.9650809250425899,1920,1080
72156f,poster,17.863028817011504,0.9399538773275953,956,550
f02589,mobile,19.289146901483807,0.9192440422289013,1920,1080
ea01c0,poster,16.055430067341604,0.9025534477257261,338,670
0197c7,poster,17.25202421897501,0.9250672691881673,514,800
1626dc,web,18.647987752352314,0.9339972568309216,800,1280
9b41e4,web,18.33567899397558,0.935033919560026,800,1000
40ca07,web,17.548777805149832,0.8949056372566582,800,1000
452a6c,web,18.32989931096501,0.922366989919548,800,1200
7e2e98,web,17.973854290698323,0.9177374881384884,768,1024
11a99d,poster,19.161336777564276,0.9464432392344956,1554,800
8fcaf4,poster,20.01933836916692,0.9533628180751996,2160,970
4954fe,poster,20.071063078954793,0.9588895840500709,1600,1250
450720,web,18.156317671865885,0.9488186406056184,800,720
256121,desktop,17.327464438564615,0.8992407298739006,665,950
9e3ef2,poster,19.024992073911555,0.8986801829772839,1152,2048
ecf129,web,18.695777841837156,0.95459860294084,768,1024
35a756,web,18.562090694899094,0.9340509421470662,800,1200
3ea9d8,desktop,17.044447613790066,0.8931820236915384,599,927
b4f37d,desktop,17.050669200564727,0.9090498926096716,664,667
026a98,web,18.661104262570497,0.9347069928048461,800,1279
f4b47d,desktop,17.694692483613586,0.9030495695340914,668,1185
6294a2,desktop,18.22832512980306,0.9304889675548321,666,1185
9984d9,desktop,17.62688536070868,0.921925819523335,667,854
a85808,desktop,17.746516278540625,0.9060635392087297,666,1182
2f6fcd,mobile,17.287446395219913,0.9106465418172481,960,540
1f3437,desktop,16.549389363699937,0.8446805702368247,666,1187
3bb8f9,mobile,17.775412698136577,0.936351022173426,960,540
db12fc,desktop,18.268518121407773,0.9325280555474164,665,1187
012baa,mobile,18.411724387410064,0.9698698557887259,960,540
d79d5c,mobile,17.766149563582452,0.9358630703235545,960,540
17b8da,poster,16.74751914391445,0.9281110840843101,520,520
2586ee,poster,18.520717208443436,0.9596620333227075,960,672
c02580,mobile,19.534207332180245,0.9309226479264099,1920,1080
fc70db,mobile,19.7007974695723,0.9388616714650798,1920,1080
8d908a,poster,18.34512662500908,0.9517547776752812,954,665
731c85,mobile,19.799260005523834,0.9435540044136786,1920,1080
1f5664,poster,19.45770409027885,0.9577707028180372,1450,900
bbc0fc,poster,15.786049605788078,0.918514445931862,339,440
de9b80,mobile,19.973042977468907,0.9518358098464037,1920,1080
a77bd5,mobile,20.025769238014732,0.9543485337695146,1920,1080
092bd5,poster,17.801577866343496,0.9361484685149332,808,656
e4afc4,web,16.801684121041347,0.9131973575132397,480,720
511db2,web,18.998225695223343,0.9515391644203012,800,1280
330777,web,18.203630536717167,0.9160131007220146,800,1200
c5fff6,poster,18.894653750654015,0.8925234146727831,1152,2048
a7c147,web,18.47072308791881,0.9251188345307427,800,1280
d24c30,web,17.968240543448626,0.9389900460338021,800,720
35bd1e,web,18.07838926252934,0.9230750001111135,768,1024
78cb76,poster,18.753948164993282,0.885876929829254,1152,2048
c31d79,web,17.546107942114354,0.8788584833587888,800,1279
5fc8c2,desktop,17.40354241986463,0.9031997491517129,667,947
3a8a8b,desktop,17.53735364879151,0.9029444634316101,666,1055
f8d7fd,web,18.425700492585392,0.9228638469634372,800,1280
d8d582,web,18.478098916092453,0.9254882579437418,800,1280
33c037,desktop,18.27872421785854,0.9329136495923176,668,1184
33cc24,desktop,17.526544606303897,0.8945112464731226,667,1186
0632d7,desktop,18.55645259904717,0.9470751889407131,667,1186
5b0cba,poster,20.31910725631009,0.9598598868799902,2050,1150
763560,desktop,18.229832583338133,0.9301873050621048,668,1188
9d3bb4,mobile,17.89159004274117,0.9424708674462905,960,540
7cc04a,desktop,17.88383395628757,0.913150838942456,663,1186
bf05c8,desktop,18.047553851638362,0.9217346741185511,667,1175
f69be0,desktop,19.58460073141353,0.9348294749572797,1055,1920
006450,mobile,18.154422457790808,0.9563160256246903,960,540
ab2461,poster,15.974549429862385,0.9407351858863933,398,325
2336ff,mobile,19.760219045754056,0.9416934675089332,1920,1080
587857,mobile,19.33702106581328,0.9215255345396457,1920,1080
e734ce,poster,17.167528829321157,0.9404112343790518,420,745
b8a4ea,mobile,20.00669568183113,0.9534395639236503,1920,1080
d4988b,mobile,19.441302275578927,0.9264951623455349,1920,1080
93f7fb,mobile,20.172430389679185,0.9613378210916826,1920,1080
d6789a,poster,16.68290268475011,0.9228788103115056,446,620
cbd84a,mobile,20.0461529622385,0.9553199410145751,1920,1080
bbffc1,poster,19.618099301317564,0.934920605597332,1920,1080
757ade,mobile,20.096985362713724,0.9577424110972436,1920,1080
6aa903,poster,18.10016969955465,0.925626873558797,770,1000
d56ac6,poster,19.572405821244992,0.932743036027255,1920,1080
cc5387,poster,18.394206683457078,0.91496238055785,932,1209
e9f7d6,web,18.871144923933976,0.945174236828301,800,1280
7b6601,web,18.341416877680057,0.9186943265679433,800,1279
06256f,web,17.952691113392717,0.9381774589578059,800,720
774bc4,web,17.73251615601349,0.9266714858011635,800,720
f431fa,web,18.333937066471606,0.9182678128279647,800,1280
9efcf0,web,18.170623885277603,0.910088160134859,800,1280
57bb95,web,17.556039579690328,0.9026636538080423,699,1024
6c678c,poster,19.69638397734883,0.9386513419750008,1920,1080
1d5a20,web,17.692552705113616,0.890295484211771,800,1200
b901be,poster,19.757170920170346,0.9337885871008608,1800,1300
3f6cd4,desktop,18.1097313591525,0.9289079447369999,666,1110
045f81,desktop,18.486204482025407,0.9435941433150482,666,1186
1bafe2,web,18.232772889371255,0.9132009356315569,800,1280
13349c,desktop,18.066619347271033,0.9219736155995709,668,1186
2a4ccc,desktop,17.679633655703245,0.9094679452075856,667,1066
b5dab9,desktop,18.06968724998695,0.9225381082148854,664,1186
d42246,desktop,17.275567748684885,0.9037473768447015,669,849
f0f10a,mobile,17.77425549997681,0.936290064731922,960,540
6722bc,desktop,18.31662274000218,0.9346737622443834,668,1187
16d9d5,desktop,17.967014770200507,0.9170930639926946,666,1186
25e2f5,desktop,18.133587738600838,0.9210129381205957,667,1267
dafb86,mobile,18.06424386422151,0.9515657101354962,960,540
00fcd9,mobile,17.586792210926777,0.9264151073791518,960,540
48a58b,poster,17.736355370156538,0.9342114842605497,865,600
09094b,poster,18.59889561954742,0.9386848194221432,1152,800
fd0d5c,mobile,20.13370769091564,0.9594924512409986,1920,1080
cff421,mobile,19.87608069999885,0.9472149732515807,1920,1080
ea6aef,mobile,19.983359929255588,0.9523274747454429,1920,1080
5efd27,mobile,20.16967071944259,0.9612063061814348,1920,1080
b8c70a,mobile,19.546043939612467,0.9314867335709355,1920,1080
8ce365,mobile,20.169287868785275,0.9611880610414295,1920,1080
e2dea3,poster,16.944260318929558,0.9345363852585253,435,660
865942,poster,16.191689603528907,0.8855764744350804,485,658
eeb171,poster,19.795749486596637,0.9433867070404232,1920,1080
110636,poster,19.727915816524067,0.9401540240505946,1920,1080
c23e50,web,18.579700905028908,0.9486717630602951,768,1024
454f59,web,17.57843436859413,0.8975475121765925,768,1024
2917cc,web,18.021005678992047,0.9025944296531322,800,1280
349e93,web,18.60166736463418,0.9360424541087689,800,1200
