metric,model,model_val,prior,diff,ci_lo,ci_hi,p_raw,p_holm,verdict
CC,gpt-5.4,0.408,0.403,0.0058,-0.0048,0.0163,0.11173454301159627,0.22346908602319254,n.s.
CC,gemini-3.1-flash-lite,0.342,0.403,-0.0607,-0.0721,-0.0495,4.082146200044676e-24,4.4903608200491436e-23,model < prior
CC,claude-opus-4.6,0.344,0.403,-0.059,-0.0698,-0.0483,1.8742996558363199e-22,1.87429965583632e-21,model < prior
CC,qwen-3.5-plus,0.337,0.403,-0.0656,-0.0762,-0.0551,2.0470862540916915e-30,2.4565035049100298e-29,model < prior
NSS,gpt-5.4,0.737,0.681,0.0559,0.0379,0.0738,1.7915537085119295e-06,7.166214834047718e-06,MODEL > prior
NSS,gemini-3.1-flash-lite,0.631,0.681,-0.0507,-0.07,-0.0319,2.0532555954232948e-11,1.0266277977116474e-10,model < prior
NSS,claude-opus-4.6,0.616,0.681,-0.0654,-0.0837,-0.0475,1.3167109207881987e-15,7.900265524729192e-15,model < prior
NSS,qwen-3.5-plus,0.614,0.681,-0.0678,-0.0852,-0.0505,5.537342261691083e-19,3.876139583183758e-18,model < prior
AUC,gpt-5.4,0.694,0.694,0.0005,-0.0037,0.0047,0.43570768461874343,0.43570768461874343,n.s.
AUC,gemini-3.1-flash-lite,0.667,0.694,-0.0266,-0.0313,-0.0218,2.0017443422158176e-22,1.87429965583632e-21,model < prior
AUC,claude-opus-4.6,0.673,0.694,-0.0213,-0.0255,-0.0173,9.394767565945186e-21,7.515814052756149e-20,model < prior
AUC,qwen-3.5-plus,0.665,0.694,-0.029,-0.0333,-0.0249,4.09982109411716e-37,5.3297674223523084e-36,model < prior
SIM,gpt-5.4,0.503,0.512,-0.0091,-0.0147,-0.0035,0.02448935988847124,0.07346807966541372,n.s.
SIM,gemini-3.1-flash-lite,0.451,0.512,-0.0613,-0.0674,-0.0552,5.066530368102589e-75,8.106448588964142e-74,model < prior
SIM,claude-opus-4.6,0.468,0.512,-0.044,-0.05,-0.0381,3.8507167759238467e-38,5.391003486293385e-37,model < prior
SIM,qwen-3.5-plus,0.466,0.512,-0.0456,-0.051,-0.0403,1.1528483698898397e-55,1.7292725548347595e-54,model < prior
