model,run,image_id,category,n_points,CC,SIM,KL
gpt-5.4-mini,3,0ba80a,poster,43,0.31963455120073675,0.4050470215827621,1.154807307258305
gpt-5.4-mini,1,0bce2b,poster,37,0.24741056285242705,0.4154972769266734,1.1758481690615807
gpt-5.4-mini,1,00ee0c,poster,42,-0.016235933992372435,0.046332978339800684,6.5073459577088535
gpt-5.4-mini,2,00ee0c,poster,42,-0.0035853512565386303,0.052678676012846856,6.403000251064696
gpt-5.4-mini,3,0b86e9,mobile,43,0.26561346907639016,0.27527583005974193,2.611833823509962
gpt-5.4-mini,1,0b86e9,mobile,39,0.37270015990441635,0.3326367531886142,1.844522538060074
gpt-5.4-mini,3,0bce2b,poster,37,-0.09116529975925011,0.28551901683756165,1.9354892630553482
gpt-5.4-mini,2,0bce2b,poster,40,-0.047352557695844635,0.3311562976065524,2.1164908525386297
gpt-5.4-mini,2,0b81bd,poster,40,0.3070723630890201,0.34745513231316344,2.539067576043477
gpt-5.4-mini,1,0b81bd,poster,43,0.4091702605771591,0.417534730749894,1.8314029641181602
gpt-5.4-mini,2,0b86e9,mobile,44,0.0499677086903971,0.18459771483822854,2.7361376227557126
gpt-5.4-mini,3,0b81bd,poster,39,0.12882317800579632,0.25205419251999395,4.343585576652728
gpt-5.4-mini,2,0be8eb,mobile,40,0.4161467046092001,0.45105590635711235,1.0623477111781805
gpt-5.4-mini,1,0be8eb,mobile,42,0.31367140196992016,0.3823950652856443,1.1864159157636074
gpt-5.4-mini,3,0be8eb,mobile,40,0.3852264614915051,0.4220150108166561,1.1227250872459131
gpt-5.4-mini,1,0c11b6,web,46,0.22566939313484224,0.3235399265801145,1.575050410857256
gpt-5.4-mini,2,0c11b6,web,40,0.10632800977233098,0.3077789549009521,2.0776756126681137
gpt-5.4-mini,1,0c51af,desktop,40,0.10034316909757923,0.29541523044654905,1.8177402465434889
