model,run,image_id,category,n_points,CC,SIM,KL
gemini-3.1-pro,1,075286,desktop,48,0.13581094898357,0.2386341742987828,2.3377772754644193
gemini-3.1-pro,2,075286,desktop,48,0.13581094898357,0.2386341742987828,2.3377772754644193
gemini-3.1-pro,3,075286,desktop,48,0.1913670441999146,0.2650117109378299,2.170159487043393
gemini-3.1-pro,4,075286,desktop,41,0.1271413445211642,0.2094355745786561,4.875501035465875
gemini-3.1-pro,5,075286,desktop,32,0.1074937074335174,0.1883230615326361,7.00966744255757
gemini-3.1-pro,6,075286,desktop,40,0.0972214086972102,0.2017712605303447,3.967072071554427
gemini-3.1-pro,7,075286,desktop,32,0.1075116720400764,0.1883230615326362,7.009667441170077
gemini-3.1-pro,8,075286,desktop,50,0.1488515414683517,0.2327264443898434,2.976894444232415
gemini-3.1-pro,9,075286,desktop,40,0.1173176242931888,0.197320341129384,5.89757238181596
gemini-3.1-pro,10,075286,desktop,32,0.1037376228759039,0.1867044912563084,7.020473989943856
gemini-3.1-pro,1,0b81bd,poster,37,-0.0714295962733296,0.0119540245059098,9.845853260714996
gemini-3.1-pro,2,0b81bd,poster,50,-0.0251697164503009,0.0,10.043003777290874
gemini-3.1-pro,3,0b81bd,poster,50,0.1422327626548672,0.1854736910512554,4.831635297306127
gemini-3.1-pro,4,0b81bd,poster,30,0.1822100853493112,0.2655052839092595,3.8917739764702106
gemini-3.1-pro,5,0b81bd,poster,31,0.1752804642933895,0.2614756560706334,3.9125588851988455
gemini-3.1-pro,6,0b81bd,poster,50,-0.0251697164503009,0.0,10.043003777290874
gemini-3.1-pro,7,0b81bd,poster,50,-0.0251697164503009,0.0,10.043003777290874
gemini-3.1-pro,8,0b81bd,poster,50,-0.0251697164503009,0.0,10.043003777290874
gemini-3.1-pro,9,0b81bd,poster,50,-0.0251997873173865,0.0,10.043003168375046
gemini-3.1-pro,10,0b81bd,poster,32,0.2066054590746841,0.2721159341212526,3.870256392028825
gemini-3.1-pro,1,0f8ece,web,28,0.0912774725787764,0.1828023053331177,4.936594402147155
gemini-3.1-pro,2,0f8ece,web,29,-0.0491664684058564,0.0,10.640847892456383
gemini-3.1-pro,3,0f8ece,web,30,-0.0496354648402292,0.0,10.640835132792668
gemini-3.1-pro,4,0f8ece,web,29,-0.0545373310900006,0.0,10.64083861999933
gemini-3.1-pro,5,0f8ece,web,40,-0.0344921481808914,0.0,10.64087938692197
gemini-3.1-pro,6,0f8ece,web,50,-0.0395182353633247,0.0,10.640876615442105
gemini-3.1-pro,7,0f8ece,web,40,-0.0401247349705014,0.0,10.640850747431676
gemini-3.1-pro,8,0f8ece,web,50,-0.0431247200586815,0.0,10.640871272158062
gemini-3.1-pro,9,0f8ece,web,50,-0.0230017025916024,0.0,10.640961946481529
gemini-3.1-pro,10,0f8ece,web,46,-0.0407919748857382,0.0,10.64087488595813
gemini-3.1-pro,1,1b307f,mobile,31,0.077694454560271,0.2465894504181887,4.329796718530687
gemini-3.1-pro,2,1b307f,mobile,30,0.1190865022589671,0.248773220380199,4.397029103766252
gemini-3.1-pro,3,1b307f,mobile,35,0.1651810908182235,0.2815414939668488,3.051070864730405
gemini-3.1-pro,4,1b307f,mobile,33,0.1420506198534639,0.2869967304979949,3.2122578218449815
gemini-3.1-pro,5,1b307f,mobile,30,0.1161782435313428,0.2594656923760255,4.282125476332475
gemini-3.1-pro,6,1b307f,mobile,31,0.1451758099987904,0.2894508245403807,4.1070560465123265
gemini-3.1-pro,7,1b307f,mobile,49,0.2253438239164805,0.3562498463394369,2.34327025886132
gemini-3.1-pro,8,1b307f,mobile,29,-0.0598686461120538,0.0364990412086014,8.837742425500466
gemini-3.1-pro,9,1b307f,mobile,29,0.1188555648986815,0.2455022243045115,4.421645268600243
gemini-3.1-pro,10,1b307f,mobile,44,0.1293835511754297,0.3021476345223047,2.863676747131247
gemini-3.1-pro,1,1dd09f,mobile,33,-0.01785727762805,0.0951496966344255,5.656263269536427
gemini-3.1-pro,2,1dd09f,mobile,33,0.0212360890727257,0.1150412093730094,5.446878222732093
gemini-3.1-pro,3,1dd09f,mobile,32,0.0242852681972925,0.1164327107618402,5.435312051089191
gemini-3.1-pro,4,1dd09f,mobile,38,0.1747449858845773,0.1927744257627191,4.373147989479508
gemini-3.1-pro,5,1dd09f,mobile,32,0.0253702688389633,0.1170599807611388,5.4271532882313105
gemini-3.1-pro,6,1dd09f,mobile,32,0.0205522665165008,0.1152342667845095,5.499951315286116
gemini-3.1-pro,7,1dd09f,mobile,32,0.0904105072215185,0.1459922887780225,5.263530417870455
gemini-3.1-pro,8,1dd09f,mobile,32,0.0266827896985479,0.1181598464862917,5.443324565611524
gemini-3.1-pro,9,1dd09f,mobile,48,0.110157061581889,0.1696000588661166,4.486034391045769
gemini-3.1-pro,10,1dd09f,mobile,32,-0.014352985858955,0.0974324802425789,5.6345150033053235
gemini-3.1-pro,1,1fdbf2,desktop,30,0.3223314501350015,0.3319030982022434,1.869061349370789
gemini-3.1-pro,2,1fdbf2,desktop,46,0.2928727912991931,0.3204561501995105,1.694766658252595
gemini-3.1-pro,3,1fdbf2,desktop,45,0.2901089076123552,0.3194790201383146,1.6937834775588954
gemini-3.1-pro,4,1fdbf2,desktop,31,0.3142221985033109,0.3272662510971622,1.640369169306274
gemini-3.1-pro,5,1fdbf2,desktop,35,0.3441698883084046,0.3299365431253576,1.855308394635978
gemini-3.1-pro,6,1fdbf2,desktop,30,0.3303910271088728,0.3386564622230441,1.6169025435818716
gemini-3.1-pro,7,1fdbf2,desktop,31,0.2474404495791292,0.3052843526979046,1.9645549398511983
gemini-3.1-pro,8,1fdbf2,desktop,47,0.3255940535069621,0.3346426910265563,1.6427113589797904
gemini-3.1-pro,9,1fdbf2,desktop,27,0.255855260093734,0.3058630319598161,2.0560183994841252
gemini-3.1-pro,10,1fdbf2,desktop,30,0.3884293565939323,0.3726656516303201,1.740679558304112
gemini-3.1-pro,1,2bb7d4,desktop,34,-0.1050650233101097,0.002336056334194,10.94864093047346
gemini-3.1-pro,2,2bb7d4,desktop,35,-0.1126967436873601,0.0019044546759498,10.96016385762995
gemini-3.1-pro,3,2bb7d4,desktop,36,-0.0945888195755848,0.0026759027644185,10.94189680575977
gemini-3.1-pro,4,2bb7d4,desktop,34,0.0069793836752548,0.1918364963852789,2.8266665853395083
gemini-3.1-pro,5,2bb7d4,desktop,28,-0.1058278234078242,0.0023528701278136,10.948291901996424
gemini-3.1-pro,6,2bb7d4,desktop,44,-0.1141050248800696,0.0019294713062413,10.95956019549428
gemini-3.1-pro,7,2bb7d4,desktop,44,-0.114092644781605,0.0019293503496753,10.959561833163717
gemini-3.1-pro,8,2bb7d4,desktop,16,-0.1027725240056779,0.002422513706024,10.9468647506837
gemini-3.1-pro,9,2bb7d4,desktop,54,-0.1150754958313939,0.0020645736719603,10.955696741262823
gemini-3.1-pro,10,2bb7d4,desktop,34,-0.112464780148018,0.0021853676039508,10.952346258183304
gemini-3.1-pro,1,2fe128,desktop,37,0.183570321311701,0.2270386568243699,1.8301959604399596
gemini-3.1-pro,2,2fe128,desktop,33,0.1465718153726188,0.2183864036319584,1.9056158702067825
gemini-3.1-pro,3,2fe128,desktop,36,0.1779172497946256,0.2275623021138945,1.8428472629074617
gemini-3.1-pro,4,2fe128,desktop,50,0.1832687833496517,0.2244275748533113,1.8671520225752123
gemini-3.1-pro,5,2fe128,desktop,35,0.1416083669406875,0.2198410527245356,1.9177677082399207
gemini-3.1-pro,6,2fe128,desktop,36,0.1832326525179671,0.2246572631237018,1.831474761748136
gemini-3.1-pro,7,2fe128,desktop,40,0.1509382864455046,0.2084890197162021,1.974954602903629
gemini-3.1-pro,8,2fe128,desktop,44,0.1307908799396063,0.1950832311295012,2.0536985396373746
gemini-3.1-pro,9,2fe128,desktop,44,0.124567795975666,0.194530149898032,2.065399494576313
gemini-3.1-pro,10,2fe128,desktop,43,0.1310831715327725,0.1962595071189688,2.0574349613940313
gemini-3.1-pro,1,3664a3,mobile,32,0.2664308445899916,0.3120843015410949,1.5148552179640116
gemini-3.1-pro,2,3664a3,mobile,30,0.3521895871858176,0.3561834552297236,1.7858088569163812
gemini-3.1-pro,3,3664a3,mobile,46,0.1766602237858554,0.2658635336320692,1.834544631358537
gemini-3.1-pro,4,3664a3,mobile,31,0.2988522364195757,0.3205566731417292,1.5584216625981298
gemini-3.1-pro,5,3664a3,mobile,47,0.1902104895589712,0.2855765913071061,1.6454629230102087
gemini-3.1-pro,6,3664a3,mobile,33,0.108515709011339,0.2431895344955249,1.8550534519141637
gemini-3.1-pro,7,3664a3,mobile,30,0.3472477450784247,0.3524004451021481,1.8024676991129287
gemini-3.1-pro,8,3664a3,mobile,30,0.2225310390418196,0.3239249154670934,1.8527354269752352
gemini-3.1-pro,9,3664a3,mobile,32,0.2207481003391864,0.28582709314718,1.6758142593315228
gemini-3.1-pro,10,3664a3,mobile,29,0.3331275228355238,0.3435670983393067,1.3801089524042571
gemini-3.1-pro,1,3d29ac,mobile,50,-0.0401042024857753,0.0,9.614334417475837
gemini-3.1-pro,2,3d29ac,mobile,48,0.2376821761799485,0.3627985146215603,2.140582786651699
