model,category,image_id,CC_mean,CC_min,CC_max,SIM_mean,SIM_min,SIM_max,KL_mean,KL_min,KL_max
claude-opus-4.6,desktop,003eb9,0.26323378268389486,0.18981879850721045,0.3170042341546033,0.3798293858794892,0.35055396888385737,0.4037882467944615,1.4194783627945629,1.2209705632451413,1.6614775486986932
claude-opus-4.6,desktop,009d6b,0.43774388204154624,0.4214345058846296,0.4633526866684644,0.5050809640239177,0.49481025539139956,0.5180108189922827,1.0375485802418662,0.9540239460511091,1.0820464849699905
claude-opus-4.6,desktop,00b3a0,0.2708765359697105,0.2132936681041392,0.30835742676040045,0.42346399349980063,0.40121768671373276,0.43876691673810936,1.9189321294041,1.8301548693862477,1.9903902359351244
claude-opus-4.6,desktop,00b8f8,0.2099633343122822,0.12578307164045172,0.26477494360502996,0.42191104865256773,0.36236037644742447,0.4591626189032843,1.5078231179129968,1.279234484266701,1.9565628495041405
claude-opus-4.6,desktop,0136d8,0.5546587394953651,0.5497040685110919,0.563090567752346,0.5058765931220308,0.5012417611494806,0.5131746025280538,1.7494452343009037,1.7084063538889898,1.7704404780599474
claude-opus-4.6,desktop,030bb3,0.489405753675779,0.4727132477413943,0.5104355688060674,0.4807161329240012,0.47091230200940776,0.49192365234204677,1.3188763167621356,1.269959388837322,1.3836200403541419
claude-opus-4.6,desktop,03474c,0.36321871142714496,0.352970533816777,0.37939743328150355,0.5343842509426442,0.5315821716001439,0.539501537196108,0.7382488958561496,0.7283453697604485,0.7436413988525588
claude-opus-4.6,desktop,037d19,0.5133132119535232,0.47447666234880764,0.580245600685072,0.5218895049883089,0.49687751330338203,0.5682180237446752,2.3497749641311825,1.6924189071675428,2.7154074302241784
claude-opus-4.6,desktop,038d71,0.67030934898346,0.6458839549212351,0.6845017505636914,0.5769417710928993,0.567447727043805,0.582326460502032,0.7364321181926624,0.6692669907179396,0.78710612010267
claude-opus-4.6,desktop,045f81,0.0015923494450388192,-0.00022741315494036331,0.0025625108565869885,0.3662836738833137,0.3645948785139307,0.36938603441996515,2.20199116002985,2.173344095830333,2.2571900497283623
claude-opus-4.6,desktop,0529f2,0.527821345557738,0.4966211009834743,0.5768493082752182,0.5432428992151013,0.5332478510360241,0.5489038029368133,1.1872219001161266,0.890121639485469,1.4020432943698196
claude-opus-4.6,desktop,056cfb,0.3027393376372977,0.29018859882865744,0.3121664018464734,0.4432096601007159,0.42847414086690755,0.4556193337748908,1.37174287353334,1.2924427982351467,1.4188633782658844
claude-opus-4.6,desktop,0632d7,0.2822978585292211,0.2673873365296314,0.2955413602847453,0.49090461730034346,0.4850271040566865,0.4979702506175059,1.859657327487562,1.7912225772337602,1.9432929084727872
claude-opus-4.6,desktop,0720ce,0.49524459046243013,0.4830323846432272,0.5139919618573642,0.5062497602762964,0.49981302840891817,0.5139324968649048,1.4401925846777777,1.37148052560021,1.4906529164037419
claude-opus-4.6,desktop,072634,0.3838688848379504,0.33776486508695375,0.4109760049646398,0.4297430274062303,0.4020368611183461,0.45567232877875247,1.3668713133149637,1.005159987088689,1.5482272701118345
claude-opus-4.6,desktop,075286,0.4888708711480549,0.46218162767570914,0.5293277700557885,0.4894578244047502,0.4721918551850485,0.5139226635872667,1.8043951807497443,1.7787733388881937,1.833597980244249
claude-opus-4.6,desktop,07950c,0.6324728943568019,0.5607903538251517,0.6840050406297116,0.54931992950266,0.5089705532101387,0.5757393375066926,0.8203304643715682,0.6998854509208225,0.9972901442563357
claude-opus-4.6,desktop,07b304,0.5600740618654346,0.5360035510478706,0.5746570350972604,0.5176261553791388,0.5069417772648499,0.5247860322187581,0.7884992614975043,0.7481882580650907,0.8345289406267651
claude-opus-4.6,desktop,08a5d7,0.5612700250399415,0.5386097600238262,0.6035348952339177,0.5386010906515789,0.5277988180356739,0.5590814232590616,1.1447074107420008,1.1026643946963204,1.167482141094094
claude-opus-4.6,desktop,08d1eb,0.43731326051671937,0.4147632193096771,0.4578404882566972,0.4633365368721525,0.4546192295668531,0.4742030000948662,1.1855371559611303,1.1270286301988302,1.299194568638149
claude-opus-4.6,desktop,09bb5b,0.5187126819632135,0.4868936050457095,0.5540263841765414,0.5676887064516567,0.5517322131807577,0.587694936847973,1.4416882455596463,1.1985356993037923,1.6402146911412858
claude-opus-4.6,desktop,0b777c,0.5320301472544391,0.5083257627008233,0.5762586281379589,0.6255101851647401,0.6121431560091032,0.647270533281247,0.7204430150493986,0.5765099962272358,0.8986361249679045
claude-opus-4.6,desktop,0c51af,0.24454051770385044,0.20755250254402113,0.2911635197674196,0.44637437179718065,0.4349066249718548,0.4566487763195921,1.4726766333774306,1.3903678863617976,1.622806330694024
