model,category,CC_mean_mean,CC_mean_std,SIM_mean_mean,SIM_mean_std,KL_mean_mean,KL_mean_std,NSS_mean_mean,NSS_mean_std,AUC_mean_mean,AUC_mean_std,CC_partial_mean_mean,CC_partial_mean_std
claude-opus-4.6,desktop,0.2907782270813109,0.15949961991281106,0.2942403912186482,0.080371163425191,2.0704333863013162,0.7294162500028093,0.8932722301494338,0.5444613797523628,0.723081528269644,0.08643348814517263,0.18317320589013814,0.1761392926619635
claude-opus-4.6,mobile,0.19056907764552383,0.1599875444314378,0.2980786287623562,0.08639549394322903,2.832560642525978,1.1184721230605488,0.4654251832704628,0.4553966236848523,0.64254765886448,0.10138293474497526,0.08157036431862656,0.14907948337898957
claude-opus-4.6,poster,0.22971897237716635,0.14717243853424283,0.2919774631364809,0.08968417583982614,2.438165142547232,1.2134788513464867,0.6169502983801826,0.44820114423190144,0.6627162252851225,0.10947991420977465,0.12813739248990302,0.14422715443158257
claude-opus-4.6,web,0.19562106530364765,0.14065305837249506,0.25993548762683155,0.07617637273087664,2.3441116053973228,0.8503191127482485,0.5777925260561492,0.4426439436111205,0.6749992777767457,0.09233805376964246,0.07528545920510621,0.13229857868529965
claude-sonnet-4.6,desktop,0.22401638895380335,0.15545663917752298,0.26030375116014165,0.07468119873214056,2.283188180575001,0.7974872951403547,0.6995472169154207,0.5257224667261863,0.6808914739783898,0.09830931752963785,0.15938954115525059,0.15467791581820864
claude-sonnet-4.6,mobile,0.09546451761326566,0.14364569499295432,0.23808357885497577,0.08531807039590797,3.8508658916486644,1.5579526261376377,0.24671817124706877,0.41424303117901834,0.567754719941381,0.11525478894864877,0.039293124409335994,0.13152036956213367
claude-sonnet-4.6,poster,0.11950527127002755,0.1402106317778664,0.24323812208010634,0.08007218693895225,3.1377316492110117,1.654217545237754,0.3328701967641979,0.42469380779821075,0.5784246798695303,0.13025022109371823,0.07953916056079248,0.13604481201961952
claude-sonnet-4.6,web,0.1279746788773595,0.12164001759363509,0.22765544125281548,0.06815621569448682,2.706054220452289,1.020008347466667,0.38730784120327305,0.39548304758680164,0.623316806448331,0.09749557418000568,0.059647912797483285,0.10980311383390136
gemini-3.1-flash-lite,desktop,0.21184368236540357,0.1556825706438304,0.2548605838567214,0.08100123163349619,2.692713078700192,1.1614077572583772,0.6805153555166688,0.5564183184684237,0.6655979761527446,0.10711112319583303,0.17639379056802687,0.15376747184220438
gemini-3.1-flash-lite,mobile,0.18907230274979314,0.14308904559942015,0.2834815989251336,0.080186624176172,3.3190930209054152,1.3010861818890032,0.4981049279937764,0.46004248357397504,0.6177038464246917,0.10532158383195922,0.12279515760968793,0.15114683642469484
gemini-3.1-flash-lite,poster,0.14282622809370163,0.14644351079457626,0.24853705591883074,0.08230438983405988,3.219872542324798,1.5199437684464034,0.3928648097554777,0.44905906737088347,0.5966310731580693,0.12435557146951913,0.11096634584180588,0.1417479126365517
gemini-3.1-flash-lite,web,0.09790199927644318,0.114946500501778,0.20995989143692595,0.0647359422502198,3.1242015582231515,1.146148377542824,0.3012158291316777,0.3886131429290223,0.6042687018036353,0.10176195436425259,0.06382161530896469,0.10594090934815087
gemini-3.1-pro,desktop,0.1919595983173181,0.16755249002057618,0.24247412106481603,0.0928391807330169,3.2469365105144545,1.7154897917914158,0.6118777600716527,0.578236305883477,0.6333527293020144,0.1312865161582723,0.1711668702554112,0.1570570362314085
gemini-3.1-pro,mobile,0.16600647575300628,0.13595498912049706,0.26203651975165254,0.08033269264435287,3.756546169734278,1.581921246293551,0.42463340600958616,0.41576166666318637,0.5802700475586423,0.12721563733640162,0.11880234385440562,0.13854435318438452
gemini-3.1-pro,poster,0.12300664934845737,0.13751863101975056,0.23434192217534008,0.08336038708330033,3.729812175389793,1.9047003745324862,0.3485385389706266,0.437874498133325,0.5588906125797541,0.1403400175036378,0.09779412378716958,0.12934219460075372
gemini-3.1-pro,web,0.0928487995862795,0.12330804324969298,0.20711061129713124,0.06927887822690093,3.176229588506992,1.3464935723483153,0.28557796930966006,0.4023204022456312,0.5964417003153359,0.11857264948487896,0.05938010701086327,0.10773770128658487
gpt-5.4,desktop,0.2842926765212973,0.1464298219646837,0.28598705956937664,0.07610021677855434,2.114150425301447,0.6700968818264103,0.8953399688286188,0.5108253281807796,0.707903311325003,0.08708444836447035,0.22003358599077438,0.15322221675418482
gpt-5.4,mobile,0.21630334110760502,0.14401300281429685,0.3104483008692715,0.07571677507099624,2.777079761716821,1.0805115963440732,0.5401366682535205,0.457254980076272,0.6370551783579131,0.09885631379668569,0.12179272587112663,0.15134347733861045
gpt-5.4,poster,0.18315901016812658,0.13916319745461533,0.27175967094248416,0.0808221763353637,2.777507539236736,1.5047808566525265,0.4910367927129958,0.42907075760954005,0.6181698985318183,0.11777669591220899,0.12178458252781398,0.1408219281240578
gpt-5.4,web,0.18288925442067924,0.11798941984602204,0.24878755671916306,0.06259303608595902,2.296332799853185,0.6703606231267235,0.5531363776891467,0.4049332386150605,0.6542145688496792,0.09147577031345443,0.0983909900207337,0.11493061259397298
gpt-5.4-mini,desktop,0.23145980707416947,0.1412978659450098,0.25891285274719306,0.06888289872266781,2.182345264313887,0.6437378486480073,0.7326708928449549,0.4785871634921148,0.6747271001367307,0.09083968411331039,0.16732628581371561,0.1416135015010378
gpt-5.4-mini,mobile,0.12359777247180241,0.12102514918145146,0.26670710207918275,0.06275081654671835,3.1289675954664578,1.087371583397345,0.31660170344212063,0.36525287674902446,0.5845798261865924,0.09637186535920188,0.05062059172417645,0.12948666882071158
gpt-5.4-mini,poster,0.12077483340067417,0.1330200195262708,0.24394056954166304,0.07731798765394841,3.0531513450463215,1.6314449389507109,0.32569045572698846,0.3855983727599681,0.5757192670529855,0.11795134800695238,0.06741468317558744,0.12557497219919245
gpt-5.4-mini,web,0.14024687087224763,0.1025604225899686,0.231153500973021,0.054718004934718026,2.3581769838736437,0.6346520878304328,0.4311147901016204,0.3545811554645738,0.6224008281671058,0.08581496715322307,0.06546586767882723,0.09536587235097395
qwen-3.5-flash,desktop,0.18585485746493854,0.15832478157543625,0.24352194041611508,0.08254434683127361,3.0265372428639377,1.3993212731398799,0.5967249240966772,0.5401814569418125,0.6375057065973514,0.11605770503162005,0.15400334139160968,0.15595272119769854
qwen-3.5-flash,mobile,0.15383569390029034,0.13136301223694194,0.2641406057474616,0.07455862470690035,3.608245848470301,1.3875496412016608,0.3999674550357602,0.42464377626528454,0.5910629266328556,0.11101868374207875,0.08454428333683882,0.14589598861897027
qwen-3.5-flash,poster,0.1029203470451855,0.1274833702497675,0.22877900228263215,0.07984192117421642,3.6609894507021727,1.7770146839770935,0.2810669563280624,0.38325834008919885,0.5501862120951304,0.124520779392023,0.07439303372943276,0.12430611240737675
qwen-3.5-flash,web,0.09890823019235866,0.1079209269224894,0.21162370146835469,0.062164015748820745,3.074717428329313,1.078922700227711,0.298468856499509,0.34720744653423097,0.6077498415219021,0.09527803339141774,0.052522326115025934,0.09709622857682268
