model,category,image_id,CC_mean,CC_min,CC_max,SIM_mean,SIM_min,SIM_max,KL_mean,KL_min,KL_max,NSS_mean,NSS_min,NSS_max,AUC_mean,AUC_min,AUC_max,CC_partial_mean,CC_partial_min,CC_partial_max
claude-opus-4.6,desktop,003eb9,0.16868502873371757,0.121743988753584,0.205218226216877,0.23480657578884093,0.2229809727337779,0.25031467473561,2.0759863111094674,1.9009858939380773,2.243365817329867,0.5985578765650128,0.4508399070341505,0.7405392727302019,0.7381205522884668,0.7156740363277264,0.7650105902577801,0.011974232105565164,-0.0481386434691598,0.0497877772520563
claude-opus-4.6,desktop,009d6b,0.1532988727633813,0.1326121451342282,0.1698153128498367,0.2668452090091192,0.2520783333954081,0.2745108120386034,2.0983865223777585,2.016458224842925,2.210340991611204,0.35856169688082273,0.3077226065083703,0.4001024266580746,0.6381657022870786,0.616189851226815,0.6513364100541902,0.19077652863361502,0.1695619837369799,0.2051507695695008
claude-opus-4.6,desktop,00b3a0,0.20327287548236206,0.1829021936783293,0.2315202680232773,0.25764923399328793,0.2484887880110582,0.2703945623260658,2.8247815719906,2.690118001830069,2.9883089708120787,0.6462384389919326,0.5875932029216658,0.7398102177658332,0.6811619187845848,0.6756069559329024,0.6870529037928106,0.11276942001061778,0.1007605385408884,0.1220453227046887
claude-opus-4.6,desktop,00b8f8,0.07213842067305416,0.0494294169646044,0.0923404077518142,0.19352283755872443,0.1807885765290641,0.2036285029349119,2.771467745200066,2.6233175063316523,2.97512323732461,0.1516622867044509,0.0663805452007926,0.2201542952527141,0.5979634337943659,0.5929290962660616,0.6065985603272792,0.05259931648167187,0.0438573915345444,0.0668768180915218
claude-opus-4.6,desktop,0136d8,0.28073267094680543,0.2389899925136115,0.3093666854162592,0.28286220007491786,0.2591801116648629,0.3013532144785236,2.0653913230459486,1.963242137812308,2.2297918791392677,0.9875423883069508,0.8352634287286613,1.0866260495969686,0.7240000597023833,0.7071598164551702,0.735168160921986,0.3024677228478048,0.2680999108721479,0.320568236268319
claude-opus-4.6,desktop,030bb3,0.2628226491222712,0.2503038725295747,0.2813901119996315,0.282844010721244,0.2789477394390487,0.2904390007346649,1.9891012090072753,1.86586145757984,2.189665809654179,0.8527951051688318,0.8240097412386128,0.9085941701304936,0.7581831421394432,0.7414578162908458,0.7726211615212745,0.16931991921231593,0.1571793991457425,0.1831979377872384
claude-opus-4.6,desktop,03474c,0.232216779504446,0.2046577077103473,0.2776203589638285,0.26649148998509714,0.2608168502772447,0.2741177777570827,1.7632844054477712,1.7485604202186749,1.7802601251720738,0.5413477391200117,0.4521487207188487,0.7085603689828833,0.642001605600261,0.6358883893196126,0.647229809941789,-0.012378217132891634,-0.0725466354026179,0.0830146402245239
claude-opus-4.6,desktop,037d19,0.36220098041884535,0.343260068637181,0.3922926055521042,0.36093125488107575,0.352826385874243,0.3682897933405276,2.6008583841351176,2.5686764507579136,2.6293521444332564,1.1517060068721345,1.1084758052188464,1.2078670371063227,0.7449914559376397,0.7396293304670365,0.7486677014452314,0.23490952615564367,0.2122916143933443,0.2588631692380305
claude-opus-4.6,desktop,038d71,0.6366261015657054,0.6123847413124581,0.6549454841885511,0.5126685465327758,0.49973381621905,0.5284861356827584,0.8143064788348209,0.7922760996681221,0.8358106759914944,1.900069695998667,1.821805821077652,1.949957098437613,0.8736571725698677,0.865382594014229,0.8794823377356906,0.5928995506175392,0.564429841964989,0.6149814336650733
claude-opus-4.6,desktop,045f81,0.17098280430689328,0.1633327148907357,0.1816191361914254,0.21906869641761836,0.2134019063350404,0.2261496931299805,2.1184898717098015,2.1037077950082557,2.126361254966602,0.6082440377105467,0.576650705352879,0.6385371200609901,0.706062932097809,0.7016416101757796,0.7109269206864632,0.002425695300492067,-0.0095543513354029,0.0088574057635434
claude-opus-4.6,desktop,0529f2,0.3417419505854254,0.3134766138745643,0.3792099019821987,0.3332974742202672,0.3270586172997766,0.3447975175465806,1.9036224697140616,1.797108191373722,1.978299088309342,0.8996377832102503,0.8139442117915697,0.991525500618584,0.7385728412564592,0.7291023867580295,0.7484622565358,0.16251718676721363,0.1359267572499719,0.1890954121436744
claude-opus-4.6,desktop,056cfb,0.13152795276264354,0.1051322099055175,0.1649332958059504,0.22169869964871444,0.2161646411135209,0.226941393890447,2.1000257522756134,2.060550971791638,2.145318057187988,0.43889470716130846,0.3593944226416769,0.4865361076908688,0.6806607918295976,0.6711444445923523,0.6875108849090343,-0.11553301137317902,-0.1477216163289054,-0.0759650094846578
claude-opus-4.6,desktop,0632d7,0.2024540410262772,0.1902135410250616,0.2105501480256671,0.24078610110919416,0.2334201358070673,0.2458899514426488,2.5418397207498047,2.467066595314291,2.608920532496408,0.5776242561245319,0.5451160265106023,0.5941668844005411,0.6616365121166848,0.64989254262911,0.6676730584489562,0.09375223755772648,0.0864111042755711,0.0981262806004285
claude-opus-4.6,desktop,0720ce,0.526166423960606,0.4985126205235203,0.5719471642943088,0.39193558208863605,0.3812284902910859,0.4061826232396014,1.487180757875188,1.3640950221279948,1.6660120767120048,1.9282598040237007,1.7972698828083422,2.149120969689522,0.8458012410616051,0.8082450224406551,0.8708581642006152,0.37503743273587675,0.3359669295580118,0.4419351253921487
claude-opus-4.6,desktop,072634,0.27746505530487914,0.2072846909066145,0.337554494594188,0.2754961811721441,0.2664214069186373,0.2871375919655902,1.9652696656903996,1.9118609292369109,2.00593124770939,0.8528223486378134,0.7242697560831548,0.990892653308116,0.7590527115333386,0.7561465080797215,0.7606153594910793,0.12281083173781777,0.0460439549434985,0.1853846269731389
claude-opus-4.6,desktop,075286,0.2687372270348123,0.2599244583190405,0.2825766370152695,0.3152284483364191,0.3065298663144321,0.3250553708154232,1.8383594602866886,1.787875455576219,1.8691623718646355,0.6990098310553031,0.6508602866267129,0.7556476298111905,0.6958428625779369,0.686655269181079,0.711374131874722,0.11943992235012686,0.0905743405875775,0.1340809193421614
claude-opus-4.6,desktop,07950c,0.4293990588371492,0.344607220606732,0.4958334350351198,0.3634390221055268,0.3246602060504183,0.3912960740534545,2.4564530255695964,2.2445328084721043,2.72974805561748,1.5235350509053394,1.3516932612449548,1.668984871777765,0.7579236372059452,0.7508760221493804,0.7645421885398004,0.3933177806058043,0.2992493046579015,0.4656570679507539
claude-opus-4.6,desktop,07b304,0.41220573741535177,0.3810787468242926,0.4509005001552545,0.3375920531508349,0.3237182864195916,0.3501073760001534,1.3510279886828835,1.2421902813376349,1.4637091659892325,1.0571184922288104,0.9768608324976416,1.1625187108570114,0.7617100651227866,0.7333483820063337,0.7795619082608417,0.2441798035550423,0.2020655562882004,0.2785913170529254
claude-opus-4.6,desktop,08a5d7,0.5078725125103248,0.4926073059818499,0.5377758388493374,0.39334083667871567,0.387901976781372,0.4042185227375094,1.8445163069383381,1.8208465687355455,1.8563513803443417,1.4381202532775648,1.3945943950424786,1.523396514614325,0.7500574639937185,0.7482791415102719,0.7534713463248369,0.420690919965788,0.4029285878491787,0.4555713716989506
claude-opus-4.6,desktop,08d1eb,0.20835843128904016,0.1857739450141111,0.2215380639990837,0.28837610887840237,0.2832012294274256,0.2934142250205754,2.0649293917055602,1.9385182500680287,2.19619537255469,0.5475736770686397,0.4383284269618737,0.6429098457737176,0.7041308319190952,0.6909636563537882,0.7220578484862601,-0.008478632993765266,-0.057578889315576,0.0212222634334191
claude-opus-4.6,desktop,09bb5b,0.439185133184303,0.4167252330083892,0.4532394191170373,0.42717463160759667,0.4154440037415547,0.4341917693861128,1.0872901021671062,1.0327463735933806,1.1817309938525724,1.1933950754234801,1.142015575837243,1.2228286827011174,0.8188272115833432,0.8103851212370525,0.823987085843957,0.24214394728707508,0.2051929402800029,0.2653181383976743
claude-opus-4.6,desktop,0b777c,0.5266703016299047,0.431948674781894,0.6081851494379615,0.45902633351047156,0.4161873671974732,0.5018473792487927,1.0389404650901202,0.8455254939387946,1.294210029374249,1.1649593855394356,0.9516992188640488,1.3490736418936864,0.765250802312107,0.7160424678994532,0.8036780677222264,0.31487419673114714,0.1953975371460151,0.4176890960361168
claude-opus-4.6,desktop,0c51af,0.0597642122070522,0.0215843936960164,0.0869388030820235,0.17485895301260165,0.1644971454751693,0.1841123234918235,3.017210789303208,2.9370976587246327,3.158089123365573,0.16462528811040253,-0.0011784842558108,0.2613901160060989,0.5799553951272266,0.5500088309552452,0.6110418495198482,-0.0008903232566567996,-0.019994619110263,0.01401234022731
claude-opus-4.6,desktop,0db596,0.0905642588133046,0.0378634479433184,0.1422296985133365,0.20057233961174725,0.1778365027376701,0.2121143683740934,3.0789064905208625,2.8109542904280285,3.261913337400565,0.3970850601708798,0.1533885925719316,0.6614097688098056,0.6945189419645584,0.6573397602804336,0.7359961027004706,0.026180659620872335,-0.001955302059376,0.0655334689021443
claude-opus-4.6,desktop,0dbd98,0.514296970728446,0.4921829669413388,0.5522282498032689,0.38580249916246306,0.3766441936137644,0.4038053501330023,1.2388024537232933,1.144287864531991,1.2943560994273633,1.6155204532953977,1.5316204667482174,1.7413286381771638,0.8502996390465404,0.8425021692808347,0.8636531126438786,0.42059323406220495,0.3939368812100536,0.4610172507933782
claude-opus-4.6,desktop,0e1c44,0.25785877583933736,0.2130272353787991,0.2895360239965118,0.20903509940626983,0.1938854888441182,0.222945867351247,2.3115546940658795,2.2618279950959472,2.384096796766565,0.7102040056087087,0.5535498926344842,0.7974952098785251,0.6383765109264989,0.6216937517092407,0.6712105009112328,0.16887640969819906,0.1254884211850109,0.2067216466685397
