model,category,image_id,CC_mean,CC_min,CC_max,SIM_mean,SIM_min,SIM_max,KL_mean,KL_min,KL_max,NSS_mean,NSS_min,NSS_max,AUC_mean,AUC_min,AUC_max,CC_partial_mean,CC_partial_min,CC_partial_max
claude-opus-4.6,desktop,075286,0.49528236662599295,0.47088793257535694,0.5195420717438164,0.49077896164706686,0.4785472872475035,0.5024953165668016,1.7984894376112166,1.712022178844066,1.8667246572067575,0.9071900859024101,0.8679363613408042,0.9493641902485317,0.7071268106499962,0.7013319517156049,0.7168625097350219,0.438731178659374,0.4083610534250684,0.4619856874620942
claude-opus-4.6,desktop,1fdbf2,0.5502345246845802,0.478986843453068,0.6437705438707776,0.5973487901767802,0.5762717607930501,0.6388034455944631,0.8082299947551155,0.6717022353535212,0.929276878424144,0.8287041355130684,0.7143183869371218,1.0113585475469375,0.736927634721936,0.7208541748478021,0.7618167537421616,0.5284671357023608,0.4550666929736422,0.6159202758862234
claude-opus-4.6,desktop,2bb7d4,0.3116491421243869,0.28827979978535756,0.3611925237945479,0.47766950584983636,0.4625921819745941,0.4946892918371412,1.80928713340541,1.5607998210046499,2.0000288390866388,0.5278615624461115,0.469366604458431,0.5980475460997385,0.6472842586354579,0.6405132181345686,0.6604014828181178,0.1570418126845604,0.1189953655193949,0.22701169170582364
claude-opus-4.6,desktop,2fe128,0.24466724367882384,0.19382738628883617,0.26399515039572796,0.45109061320484417,0.42940908003343536,0.4606037880751808,2.48500019793548,2.3784403880090808,2.682275258093514,0.4344939051402298,0.331080874917257,0.4688342864722635,0.6010995946165407,0.587261596054838,0.6071234951000191,0.18081650987972867,0.12584457201488514,0.19882655746449104
claude-opus-4.6,desktop,3ec21e,0.6670102911485846,0.38439559944847823,0.7432352718309417,0.6053461419443626,0.4724693804612856,0.6464222552956029,0.633841724196206,0.434747810388195,1.8319896116386691,1.2690399268737629,0.8104902527193067,1.401025280533102,0.8075023351134931,0.7025216419972478,0.8311420043783341,0.6369744949939931,0.3035996749499418,0.7230878334268985
claude-opus-4.6,desktop,5a6a69,0.5536696718671277,0.5116792560517256,0.6221162188605731,0.5956722893712563,0.584170242330143,0.6144724292217993,0.5957928142421852,0.5438413021992876,0.6229291012225542,0.9688403028001538,0.9174637193615718,1.061412635177099,0.7710925098272535,0.761774803515375,0.7843007968737119,0.49487360426386057,0.4562969572344576,0.5719949732907152
claude-opus-4.6,desktop,67225a,0.735253150754966,0.6850755433908576,0.8018569307870642,0.6748828504937469,0.6442149222083646,0.7137111042795627,0.37565212495197436,0.3232872513920847,0.4288372955293219,1.4305021920673193,1.3268576353713597,1.5545079846890075,0.8546881107792105,0.8417201676672946,0.865445912898296,0.574451414647599,0.4769606953377395,0.6936082033933628
claude-opus-4.6,desktop,7cc04a,0.3788342584506774,0.3488983333481621,0.4132605777555145,0.46874267866857694,0.46108329361223616,0.48122846235976946,1.2906922971485515,1.1830352503870114,1.3473987337030822,0.7014164948164245,0.6466713524164603,0.7847835386538665,0.7349269788053923,0.7271683568185381,0.7463987073590018,0.1885776428101497,0.15611423298806923,0.22905563551590988
claude-opus-4.6,desktop,b5dab9,0.3090919306949367,0.23683893551578733,0.4015537713923617,0.4658518962550988,0.4357590009364761,0.5078214569839035,0.9742429610268438,0.7772839347822538,1.1248715229257598,0.5562677405048946,0.40704782680964713,0.7231356936286562,0.7046001882549906,0.6680431202637462,0.7468967561629992,0.32058098978850935,0.23345374423391102,0.4058348247219882
claude-opus-4.6,desktop,f9e25e,0.5440656896224965,0.44209670134052126,0.6052528599605959,0.6519843480409333,0.625362202004472,0.6700240164370057,0.4313858016033045,0.38753481507460874,0.5130517361063998,0.6634485877564964,0.5203590393419113,0.7523560692124421,0.6997898094332662,0.6620634869363611,0.72119948133544,0.4154479305332253,0.2736175243395909,0.4782899743497484
claude-opus-4.6,mobile,1b307f,0.21119775675405736,0.13545743841426203,0.2775967265858032,0.376575319347565,0.33601423799033076,0.4031032320623728,2.167031808693508,1.8453477287520696,2.6509836417128843,0.36778368380367854,0.20109048547469227,0.590697354426488,0.6722078710055716,0.6274515404867981,0.6938569870464495,-0.0957333978955491,-0.18417580504005954,-0.016930606403634134
claude-opus-4.6,mobile,1dd09f,-0.06637690199089583,-0.09755444887666821,-0.03244640744836987,0.16257535924258093,0.14657975564688977,0.19587079879904024,4.897951601353332,3.925104415193071,6.043376937104016,-0.12125501786765373,-0.20005842810760605,-0.05768751132601549,0.45874748766502044,0.3870774031606222,0.5113381772191095,-0.16193673879643217,-0.1934069020127113,-0.13496493117627073
claude-opus-4.6,mobile,3664a3,0.738176996294384,0.7094599621842352,0.7668360448921712,0.6887037572591692,0.6739270022671779,0.7111534763460129,0.6728466501704693,0.40908856241785435,0.7709707261510147,1.1113640328667274,1.069340892081825,1.1558673001252158,0.7789469576301469,0.7670941003707731,0.7895365137680795,0.7183060485117063,0.6890086787712214,0.7464037551536552
claude-opus-4.6,mobile,3d29ac,0.2938341012311081,0.2075495933998061,0.3543821147545957,0.49298766740406813,0.4619847348323426,0.5221491776920077,1.5500326081203908,1.344756605440119,1.823552984455033,0.3087093383062775,0.2237806162893511,0.3949928647731058,0.6473707599397002,0.6302822999501325,0.6651895610334908,0.22759753050695936,0.17285517725325575,0.30273831638287796
claude-opus-4.6,mobile,4ae90b,0.08311114810993411,0.037837166207351634,0.1514410365984981,0.35828381871166276,0.3254586043965887,0.40002731990510076,2.8981667757000933,2.4564885780646626,3.368434781553666,0.1108959024415477,0.04736027975583576,0.1758428176095514,0.5214214301397142,0.4910572693720328,0.5502207184095563,0.03822535318716157,-0.002009792288358745,0.0876291867210865
claude-opus-4.6,mobile,587857,0.20706895362687275,0.15820945909360395,0.3000255857292995,0.38566076764788504,0.3712958180669811,0.42229927010998675,2.5374924855265912,1.9842095584273616,2.8926918920596516,0.29224668830191025,0.15981618917896517,0.49083086165316886,0.663843129362886,0.6246293730705844,0.7020454047878917,0.1059644943927797,0.055991362548105876,0.21392497515283088
claude-opus-4.6,mobile,58b56c,0.5152481842707539,0.4140435335260201,0.5614162368085891,0.5281240019137561,0.49286156630434835,0.5620714195693113,1.6465349861119276,1.2960273933641377,2.0563283221092,0.9428120328773548,0.7231219299456605,1.065043716224552,0.7633417934787489,0.7449854922489142,0.7781446773010181,0.450898564845606,0.35759372616199053,0.48472008847600717
claude-opus-4.6,mobile,a77bd5,0.22565674794239637,0.16643572644318758,0.2681531027384876,0.40185079828577236,0.3776927475356868,0.4265597083207758,2.4208003010121844,2.131154060813056,2.8093432899836213,0.3110918779274854,0.21071794362510177,0.40164709914224567,0.6304315513431034,0.5922357080880319,0.6687374953856132,0.2574216838472817,0.21039916871352615,0.2957862076387265
claude-opus-4.6,mobile,ebe076,0.8207787421785083,0.7921416275759545,0.8509477876602299,0.7597694833302227,0.7377415478369036,0.7817296693606937,0.29384675508533703,0.27309257843740026,0.3365326248945595,1.1822907184199123,1.128894243339319,1.2202524853765433,0.8125356315740305,0.8048348634522157,0.8180621226600395,0.733554214240506,0.6941454838989584,0.7953610157267227
claude-opus-4.6,mobile,f30633,-0.01829022536160378,-0.05207857665290387,0.05855515873103549,0.2553033889237921,0.21694513552074204,0.32660945254285545,4.085567681605409,2.884910140024351,4.741131214531473,-0.04172034151031956,-0.10293767928756695,0.08938371242634235,0.5205171826892008,0.4821063897848356,0.5944326065707823,-0.005752434554859206,-0.02910582504054157,0.04325239964539922
claude-opus-4.6,poster,0b81bd,0.5581699588649975,0.4881381209264526,0.6032223688203302,0.5501838971771341,0.5091277080486635,0.5744447418762478,0.9346900464993848,0.7818197656194524,1.1042408844060945,1.2683659691549178,1.1173483352424878,1.3797063276984733,0.8205220642575031,0.8093111751286914,0.8351324593722942,0.5208176854420946,0.4509241655786387,0.5599473808461357
claude-opus-4.6,poster,4ea758,0.5273062352611471,0.46883011102817673,0.58590026815171,0.5012125567820293,0.4777655720168067,0.5171461109014301,1.481333635287539,1.29847385812075,1.7127123544943799,1.155083178580528,1.0533927947711663,1.290065461722388,0.7833162516213925,0.7695964649666057,0.7922449441018438,0.442432925074729,0.38388000578518633,0.5021424646284405
claude-opus-4.6,poster,6a889e,0.40716333452812536,0.3284910759467765,0.46990313481985535,0.513323012996852,0.4969388498475428,0.5313445049530934,0.7880088627818139,0.7366067640826113,0.8312354585392273,0.6540240882588677,0.5354891312616484,0.7506511059726342,0.671887396470949,0.6533552806549784,0.6894044298951197,0.3934226232366731,0.3118861835814566,0.45851382288874803
claude-opus-4.6,poster,98474c,0.6350340056436916,0.529223057447976,0.6733109805065187,0.6180805614572533,0.5802300727235638,0.6413269168219694,0.5667816214692498,0.4859660858424008,0.7027004133539121,1.0058537580144018,0.8711232579491236,1.0767817784827043,0.7624188925102084,0.7364472373425133,0.7818020177040558,0.619212440789803,0.5044437355761056,0.6619306808927289
claude-opus-4.6,poster,aabc06,0.26601072909494083,0.18465131431528536,0.40568476600521197,0.4212638231904367,0.3714306931649964,0.49389167062074935,1.7648295160245788,1.1596897927342553,2.3511193299362314,0.43662949500191095,0.2964543537094996,0.7158888936856246,0.6599957410304802,0.6160900225375402,0.7288065743543013,0.2515665849986111,0.17919354627964618,0.3797257847428599
