model,image_id,run,CC_old,CC_new
gemini-3.1-flash-lite,00398c,1,0.3724456198595949,0.3724456198595949
gemini-3.1-flash-lite,003eb9,1,-0.08989814855714914,0.28243526337378855
gemini-3.1-flash-lite,006450,1,0.14944579153000365,0.14944579153000365
gemini-3.1-flash-lite,00b8f8,1,0.050509130820902415,0.050509130820902415
gemini-3.1-flash-lite,009d6b,1,0.13180586498716962,0.13180586498716962
gemini-3.1-flash-lite,00b3a0,1,0.5697540239080215,0.6116099380345559
gemini-3.1-flash-lite,00f742,1,0.6006008434407135,0.6006008434407135
gemini-3.1-flash-lite,009085,1,-0.12977140900590017,0.0972864678725619
gemini-3.1-flash-lite,012baa,1,-0.30222932354741916,0.5956051907593416
gemini-3.1-flash-lite,00fcd9,1,0.16997538551438326,0.16997538551438326
gemini-3.1-flash-lite,013aca,1,-0.05824748955815779,0.44557808841757357
gemini-3.1-flash-lite,0136d8,1,-0.09070604244684957,0.5548042786830645
gemini-3.1-flash-lite,014b22,1,-0.1893128023984787,0.1921210923740806
gemini-3.1-flash-lite,016f77,1,-0.16079533001877833,0.5188717708956493
gemini-3.1-flash-lite,018c0a,1,-0.07912013145851841,0.7020309539276577
gemini-3.1-flash-lite,0197c7,1,-0.07055258417688914,0.40831271407365044
gemini-3.1-flash-lite,00d34f,1,-0.0666677238784407,0.5033392301471997
gemini-3.1-flash-lite,01ca85,1,0.5844632067862223,0.5901151019441382
gemini-3.1-flash-lite,00d37d,1,-0.08945387247218634,0.15735207775624738
gemini-3.1-flash-lite,01d4b9,1,0.2668651087758557,0.2668651087758557
gemini-3.1-flash-lite,005f83,1,-0.028982937217190537,0.5907912644182329
gemini-3.1-flash-lite,026dd2,1,-0.05426471280937417,0.23934098661193548
gemini-3.1-flash-lite,027990,1,0.06383077207930901,0.14818682008244355
gemini-3.1-flash-lite,02622b,1,0.19684050827632632,0.21726942404849922
gemini-3.1-flash-lite,026a98,1,-0.12315637426346289,0.37741899408040624
gemini-3.1-flash-lite,029a48,1,0.41152993447969555,0.41152993447969555
gemini-3.1-flash-lite,0186f0,1,0.28140293240139214,0.28140293240139214
gemini-3.1-flash-lite,02f37c,1,-0.17950502384005212,0.5013564206772255
gemini-3.1-flash-lite,01e2cd,1,-0.09107351273337613,0.19197874919379443
gemini-3.1-flash-lite,030bb3,1,-0.09063722768051012,0.1083294794922494
gemini-3.1-flash-lite,035da4,1,-0.15316689239656625,0.20677463877496266
gemini-3.1-flash-lite,020ba5,1,-0.05694395323908135,0.40941310497855754
gemini-3.1-flash-lite,037d19,1,-0.05529885211134374,0.671847559381535
gemini-3.1-flash-lite,03474c,1,0.3766116462161331,0.3766116462161331
gemini-3.1-flash-lite,038d71,1,0.6336228100906738,0.6336228100906738
gemini-3.1-flash-lite,042af0,1,-0.1128842270323216,0.03453705446691613
gemini-3.1-flash-lite,045f81,1,0.2629206451412615,0.4141555555018871
gemini-3.1-flash-lite,02a592,1,0.32200370967497854,0.32200370967497854
gemini-3.1-flash-lite,0529f2,1,0.44063449740303556,0.44063449740303556
gemini-3.1-flash-lite,03340d,1,-0.018142458442882037,-0.018142458442882037
gemini-3.1-flash-lite,056cfb,1,-0.1390523631971336,0.4349757161194937
gemini-3.1-flash-lite,05e980,1,0.23504195312094636,0.23504195312094636
gemini-3.1-flash-lite,039978,1,0.22358531646521035,0.22358531646521035
gemini-3.1-flash-lite,05890e,1,-0.11480133399527495,0.49344308670382186
gemini-3.1-flash-lite,04741e,1,0.18525179337997671,0.18525179337997671
gemini-3.1-flash-lite,045d43,1,0.5336059132378222,0.5479552429157795
gemini-3.1-flash-lite,05dac7,1,-0.019003849718410053,0.6520421094360516
gemini-3.1-flash-lite,06256f,1,-0.05208851879942241,0.07373709196210271
gemini-3.1-flash-lite,05a1ad,1,0.09477123885535743,0.09477123885535743
gemini-3.1-flash-lite,05490b,1,-0.09249463729719878,0.19176002924346824
gemini-3.1-flash-lite,0632d7,1,-0.14053697300708956,0.485945504851066
gemini-3.1-flash-lite,0720ce,1,-0.033198280812661435,0.4196158580166258
gemini-3.1-flash-lite,070781,1,-0.14357237415690782,0.3203128942285179
gemini-3.1-flash-lite,072634,1,0.3210625151185124,0.3210625151185124
gemini-3.1-flash-lite,074c75,1,-0.0563081860475404,0.13932225431622836
gemini-3.1-flash-lite,085001,1,-0.0483320143493881,0.6804113023526827
gemini-3.1-flash-lite,075286,1,0.5550685748293626,0.5550685748293626
gemini-3.1-flash-lite,0616a4,1,-0.0868263023277154,0.20713120765237408
gemini-3.1-flash-lite,07950c,1,0.8752425246372311,0.8752425246372311
gemini-3.1-flash-lite,07b304,1,-0.008610290864035048,0.6147934012706356
gemini-3.1-flash-lite,07a2c8,1,-0.09379023298461797,0.41726463538409087
gemini-3.1-flash-lite,064f44,1,-0.10085751908807469,-0.10085751908807469
gemini-3.1-flash-lite,08d885,1,-0.19043257551013595,0.41384487985870244
gemini-3.1-flash-lite,08a5d7,1,-0.10731220150234465,0.4679044017397133
gemini-3.1-flash-lite,08d1eb,1,-0.08916943245552089,0.23119726492569415
gemini-3.1-flash-lite,09094b,1,0.38515615013943716,0.38515615013943716
gemini-3.1-flash-lite,092bd5,1,0.09541529251593389,0.09541529251593389
