model,image_id,category,sigma,CC,SIM,KL
claude-opus-4.6,0529f2,desktop,60.0,0.5569756800837777,0.5570103179828532,0.8506043793054788
claude-opus-4.6,00b8f8,desktop,20.0,0.07984144067381238,0.261022990021817,4.670595891478834
claude-opus-4.6,00b8f8,desktop,40.0,0.12578307164045172,0.36236037644742447,1.9565628495041405
claude-opus-4.6,00b8f8,desktop,60.0,0.16108546673732102,0.40294380287535647,1.2786493548930018
claude-opus-4.6,33c037,desktop,20.0,0.24523103458315415,0.3630360414463947,2.8393225088535696
claude-opus-4.6,33c037,desktop,40.0,0.395184221747906,0.5101968319311837,0.8753167755364395
claude-opus-4.6,33c037,desktop,60.0,0.43557156366790994,0.5296034504806726,0.7040071012430777
claude-opus-4.6,6f11a2,desktop,20.0,0.5365453173356209,0.4940453018970112,1.818271320483718
claude-opus-4.6,6f11a2,desktop,40.0,0.7072193089825989,0.6134928070740204,0.6774606467718151
claude-opus-4.6,6f11a2,desktop,60.0,0.7673327257843039,0.6378308132630133,0.5386452647367213
claude-opus-4.6,b9bf42,desktop,20.0,0.5231300399629327,0.5034799868989728,1.6560606304548235
claude-opus-4.6,b9bf42,desktop,40.0,0.6557391587226732,0.5937962578053831,0.6560229093835525
claude-opus-4.6,b9bf42,desktop,60.0,0.6670547814201149,0.5966011605486266,0.5388463974611107
claude-opus-4.6,1b436f,desktop,20.0,0.3688840569136994,0.4341546427874885,2.4383362809114555
claude-opus-4.6,1b436f,desktop,40.0,0.509381038337406,0.5584752017568273,0.8035405347516686
claude-opus-4.6,1b436f,desktop,60.0,0.5185340685330366,0.5607344330523611,0.6537950648784887
claude-opus-4.6,3a8c09,desktop,20.0,0.4795550374600497,0.47053362497382145,1.5026444135765242
claude-opus-4.6,3a8c09,desktop,40.0,0.7001569964220098,0.597524147603389,0.5598741174084504
claude-opus-4.6,3a8c09,desktop,60.0,0.7399062284413959,0.5936753677231379,0.5170501969224547
claude-opus-4.6,387531,desktop,20.0,0.08897903274450762,0.31086513406442656,3.9314791611214917
