model,sigma,CC,SIM,KL
claude-opus-4.6,20.0,0.24,0.329,3.831
claude-opus-4.6,40.0,0.349,0.466,1.734
claude-opus-4.6,60.0,0.39,0.507,1.126
claude-sonnet-4.6,20.0,0.185,0.298,4.21
claude-sonnet-4.6,40.0,0.28,0.438,1.946
claude-sonnet-4.6,60.0,0.318,0.479,1.291
gemini-3.1-flash-lite,20.0,0.235,0.299,4.279
gemini-3.1-flash-lite,40.0,0.344,0.451,1.889
gemini-3.1-flash-lite,60.0,0.387,0.503,1.2
gemini-3.1-pro,20.0,0.237,0.297,4.506
gemini-3.1-pro,40.0,0.327,0.433,2.381
gemini-3.1-pro,60.0,0.351,0.476,1.66
gpt-5.4,20.0,0.276,0.356,3.346
gpt-5.4,40.0,0.402,0.499,1.39
gpt-5.4,60.0,0.444,0.533,0.937
gpt-5.4-mini,20.0,0.184,0.31,3.779
gpt-5.4-mini,40.0,0.296,0.454,1.608
gpt-5.4-mini,60.0,0.344,0.492,1.095
qwen-3.5-flash,20.0,0.211,0.283,4.594
qwen-3.5-flash,40.0,0.301,0.423,2.266
qwen-3.5-flash,60.0,0.334,0.472,1.489
qwen-3.5-plus,20.0,0.23,0.322,3.88
qwen-3.5-plus,40.0,0.331,0.463,1.68
qwen-3.5-plus,60.0,0.37,0.505,1.097
ui-tars-1.5,20.0,0.134,0.153,7.256
ui-tars-1.5,40.0,0.203,0.261,5.271
ui-tars-1.5,60.0,0.239,0.325,4.135
