model,variant,duration,CC,CC_partial,SIM,KL,n_points
claude-opus-4.6,base,1s,0.226,0.117,0.29,2.462,43.88
claude-opus-4.6,base,3s,0.305,0.199,0.385,1.952,43.88
claude-opus-4.6,base,7s,0.348,0.253,0.466,1.7,43.88
claude-opus-4.6,first1s,1s,0.254,0.131,0.304,2.359,42.66
claude-opus-4.6,first1s,3s,0.337,0.218,0.4,1.851,42.66
claude-opus-4.6,first1s,7s,0.375,0.273,0.478,1.635,42.66
claude-opus-4.6,free_n,1s,0.228,0.122,0.285,2.943,30.02
claude-opus-4.6,free_n,3s,0.302,0.199,0.368,2.471,30.02
claude-opus-4.6,free_n,7s,0.335,0.245,0.434,2.276,30.02
gpt-5.4,base,1s,0.209,0.132,0.281,2.61,40.595
gpt-5.4,base,3s,0.31,0.236,0.386,1.916,40.595
gpt-5.4,base,7s,0.398,0.331,0.495,1.454,40.595
gpt-5.4,first1s,1s,0.234,0.143,0.293,2.514,40.02
gpt-5.4,first1s,3s,0.344,0.258,0.402,1.811,40.02
gpt-5.4,first1s,7s,0.417,0.341,0.5,1.447,40.02
gpt-5.4,free_n,1s,0.207,0.122,0.271,3.202,20.795
gpt-5.4,free_n,3s,0.311,0.233,0.366,2.491,20.795
gpt-5.4,free_n,7s,0.381,0.311,0.451,2.082,20.795
qwen-3.5-plus,base,1s,0.121,0.07,0.237,3.38,52.318
qwen-3.5-plus,base,3s,0.165,0.114,0.311,2.861,52.318
qwen-3.5-plus,base,7s,0.213,0.16,0.392,2.421,52.318
qwen-3.5-plus,first1s,1s,0.147,0.074,0.242,3.435,51.199
qwen-3.5-plus,first1s,3s,0.219,0.144,0.326,2.831,51.199
qwen-3.5-plus,first1s,7s,0.258,0.182,0.4,2.491,51.199
qwen-3.5-plus,free_n,1s,0.159,0.093,0.233,4.038,32.702
qwen-3.5-plus,free_n,3s,0.227,0.162,0.306,3.462,32.702
qwen-3.5-plus,free_n,7s,0.296,0.233,0.377,3.045,32.702
