model,variant,image_id,category,duration,n_points,CC,SIM,KL,CC_partial
claude-opus-4.6,base,038d71,desktop,1s,40,0.5626300782939617,0.48405815087137105,0.9281934921036006,0.5041669954311297
claude-opus-4.6,base,038d71,desktop,3s,40,0.5579806280027113,0.5262974193566399,0.8255858134129538,0.5174638343545453
claude-opus-4.6,base,038d71,desktop,7s,40,0.5856757193483864,0.5322295121957169,0.9205865688380689,0.5131851900303548
claude-opus-4.6,base,056cfb,desktop,1s,45,0.17602098427409735,0.23409836193413788,1.9982966009219525,-0.1192120716446942
claude-opus-4.6,base,056cfb,desktop,3s,45,0.3301614756784805,0.3944869828811646,1.307344044667914,-0.0759700690345982
claude-opus-4.6,base,056cfb,desktop,7s,45,0.3390111250886019,0.45104553063759395,1.292265669565358,0.08133129052399556
claude-opus-4.6,base,030bb3,desktop,1s,48,0.260364581727046,0.2792457364384427,1.994013758419418,0.1760734245550067
claude-opus-4.6,base,030bb3,desktop,3s,48,0.36756716582295246,0.395645552290625,1.6455059843757827,0.2791394993320413
claude-opus-4.6,base,030bb3,desktop,7s,48,0.48764574960988005,0.47525221201027984,1.3244666634831883,0.4163026480718314
claude-opus-4.6,base,091b5e,web,1s,43,0.2721742390453215,0.2604892744057822,1.9510503077565677,0.21340503045571113
claude-opus-4.6,base,091b5e,web,3s,43,0.272873542153911,0.335938544266289,1.860587983633451,0.2317933591287794
claude-opus-4.6,base,091b5e,web,7s,43,0.25212572416121914,0.4207508894360305,1.947195360009624,0.21541860005182475
claude-opus-4.6,base,070781,web,1s,44,0.22008018237780336,0.24475582384680541,2.098230565257504,0.05748911553184919
claude-opus-4.6,base,070781,web,3s,44,0.3606018155001965,0.3914896122633352,1.6695248231828659,0.2356044699777843
claude-opus-4.6,base,070781,web,7s,44,0.3597069493243811,0.5130572996184937,1.2881479193431677,0.24122927263067875
claude-opus-4.6,base,0b777c,desktop,1s,44,0.3654441337730582,0.38812881976795194,1.4541352101069223,0.17960129922023954
claude-opus-4.6,base,0b777c,desktop,3s,44,0.3931108954710474,0.49466422182519154,1.0963018610918973,0.16153770968988718
claude-opus-4.6,base,0b777c,desktop,7s,44,0.4500301853411325,0.5894009878089673,0.7741292105061381,0.2968190696746095
claude-opus-4.6,base,0ef9b2,desktop,1s,45,0.10657412052867646,0.19745604350684287,2.6471618565842947,0.03312888297553731
claude-opus-4.6,base,0ef9b2,desktop,3s,45,0.2185442362182591,0.3258231037154809,1.6600944779198017,0.08777628380936986
claude-opus-4.6,base,0ef9b2,desktop,7s,45,0.47103513299042576,0.47118446738321235,1.1033928008611968,0.31615547228890956
claude-opus-4.6,base,05490b,mobile,1s,43,0.09631874414258301,0.2930855418010566,3.5938574801971326,0.1177145179728833
claude-opus-4.6,base,05490b,mobile,3s,43,-0.023488159074478206,0.22099397432235138,4.417085468683285,-0.026241917938818245
claude-opus-4.6,base,05490b,mobile,7s,43,0.17042217948760416,0.39731413341860405,2.6930972869606324,0.20138161151477796
claude-opus-4.6,base,0616a4,mobile,1s,40,-0.025364361862160033,0.1815583750408077,4.352261327759497,-0.0955424473419596
claude-opus-4.6,base,0616a4,mobile,3s,40,0.07476435372991702,0.27789025452012905,3.3763125300488563,-0.011386476756729668
claude-opus-4.6,base,0616a4,mobile,7s,40,0.10498570242334809,0.34037974200863585,3.12917090086706,0.03788544949680363
claude-opus-4.6,base,005f83,poster,1s,42,0.17203877761017133,0.25567071079428133,2.609694616059785,0.17288034601900096
claude-opus-4.6,base,005f83,poster,3s,42,0.35728695169796043,0.47446117686811995,1.4769361787814645,0.3537176288593361
claude-opus-4.6,base,005f83,poster,7s,42,0.5116480808804371,0.5404396561211597,1.2298946686603278,0.5040867911042313
claude-opus-4.6,base,0ef09e,mobile,1s,44,0.3893776124485191,0.4273729032802025,2.212286297068931,0.2582566347859523
claude-opus-4.6,base,0ef09e,mobile,3s,44,0.36443495535025044,0.4567275060364817,2.4466589029654324,0.16315369206087063
claude-opus-4.6,base,0ef09e,mobile,7s,44,0.3046969472194452,0.4232127954858511,2.605012920055075,0.1263100473821114
claude-opus-4.6,base,147ff4,desktop,1s,42,0.25712396274298877,0.28437450192332636,1.5933514344501434,0.21457044344922327
claude-opus-4.6,base,147ff4,desktop,3s,42,0.22252841702849266,0.4155997630885121,1.278763210983921,0.21242698943803875
claude-opus-4.6,base,147ff4,desktop,7s,42,0.25087776602795014,0.48976453355180927,0.9491188855391341,0.24123953969317288
claude-opus-4.6,base,0f81ca,mobile,1s,45,0.05305972296878116,0.27775750619038375,3.274247646221008,0.1131215643906596
claude-opus-4.6,base,0f81ca,mobile,3s,45,-0.04089902089078812,0.24367927044165374,4.0481403552693385,-0.04223596422214723
claude-opus-4.6,base,0f81ca,mobile,7s,45,-0.10899368587508931,0.30112063614617196,3.6093266139052815,-0.11438908410806628
claude-opus-4.6,base,0feea2,mobile,1s,43,-0.05327280170010949,0.16910300948207968,4.565607948207278,-0.15710737796044866
claude-opus-4.6,base,0feea2,mobile,3s,43,0.09086407408747146,0.30378287484393396,2.7350782540033585,0.04491718412184457
claude-opus-4.6,base,0feea2,mobile,7s,43,0.1441717177993473,0.36703163188338717,2.468228061426757,0.06941521589975334
claude-opus-4.6,base,11f8c6,desktop,1s,45,0.10981552159705811,0.16481980258858933,2.675316090341737,0.008459744670513298
claude-opus-4.6,base,11f8c6,desktop,3s,45,0.13243252609578954,0.31333630116630257,1.9052013656891365,0.043847916557938765
claude-opus-4.6,base,11f8c6,desktop,7s,45,0.07515738777577928,0.35983702104613025,2.0546493990179715,0.0553361512032662
claude-opus-4.6,base,0b81bd,poster,1s,43,0.28237946264220143,0.3308953862329923,2.0292420108286096,0.24760587547697568
