model,image_id,run,n_points,n_unique_coords,unique_ratio,max_duplicate_count,n_unique_x,n_unique_y,frac_grid_005,frac_edge,std_x,std_y,n_unique_intensity
claude-opus-4.6,00398c,1,42,42,1.0,1,22,22,0.2902494331065759,0.0,0.1962443580655565,0.22290546891577684,18
claude-opus-4.6,00398c,2,44,44,1.0,1,17,20,0.45454545454545453,0.0,0.18684569029943154,0.221793962910335,22
claude-opus-4.6,00398c,3,40,40,1.0,1,19,20,0.45,0.0,0.19560786666184976,0.24798387044322054,13
claude-opus-4.6,003eb9,1,40,40,1.0,1,18,23,0.15,0.025,0.2889047204529549,0.2163278761509945,11
claude-opus-4.6,003eb9,2,42,42,1.0,1,23,23,0.09070294784580497,0.023809523809523808,0.2816972571240299,0.24861760654811696,18
claude-opus-4.6,003eb9,3,43,43,1.0,1,20,23,0.14926987560843696,0.0,0.27890479620011716,0.22615486923414363,13
claude-opus-4.6,005f83,1,41,41,1.0,1,21,17,0.3866745984533016,0.0,0.261562367514787,0.2527528389958538,18
claude-opus-4.6,005f83,2,43,43,1.0,1,23,18,0.4234721471065441,0.0,0.25397052502697437,0.23568112400446178,27
claude-opus-4.6,005f83,3,40,40,1.0,1,22,17,0.39,0.0,0.26498065967160694,0.2358652952428568,26
claude-opus-4.6,006450,1,43,41,0.9534883720930233,2,20,19,0.1460248783126014,0.0,0.24968016317517117,0.284911721452615,17
claude-opus-4.6,006450,2,42,41,0.9761904761904762,2,20,18,0.0782312925170068,0.0,0.22193899184184207,0.27776164352236415,16
claude-opus-4.6,006450,3,42,42,1.0,1,23,20,0.1564625850340136,0.0,0.2492205536342087,0.26737533386795,16
claude-opus-4.6,009085,1,47,47,1.0,1,28,25,0.04300588501584427,0.0425531914893617,0.24001301458601254,0.2683438467705056,15
claude-opus-4.6,009085,2,45,45,1.0,1,30,22,0.03950617283950617,0.044444444444444446,0.2422574897872606,0.26277906976426574,27
claude-opus-4.6,009085,3,46,46,1.0,1,30,21,0.04820415879017013,0.043478260869565216,0.24064422044121078,0.2668514344925604,16
claude-opus-4.6,009d6b,1,48,47,0.9791666666666666,2,26,30,0.11805555555555555,0.020833333333333332,0.27523443290321714,0.22356632358579112,37
claude-opus-4.6,009d6b,2,47,47,1.0,1,24,29,0.13037573562698054,0.0,0.2764511897221239,0.24641219097025135,34
claude-opus-4.6,009d6b,3,48,47,0.9791666666666666,2,26,32,0.13194444444444442,0.0,0.26801708848918987,0.25435162327747957,48
claude-opus-4.6,00b3a0,1,46,46,1.0,1,21,26,0.0883742911153119,0.0,0.25645467067230576,0.11704215387841704,27
claude-opus-4.6,00b3a0,2,45,45,1.0,1,22,24,0.057777777777777775,0.0,0.24477109488027557,0.0934956260943015,20
claude-opus-4.6,00b3a0,3,45,45,1.0,1,24,25,0.09777777777777778,0.0,0.2510654825801624,0.09555658914169687,17
claude-opus-4.6,00b8f8,1,49,49,1.0,1,19,37,0.0024989587671803413,0.02040816326530612,0.37707065414509444,0.17662155732135468,26
claude-opus-4.6,00b8f8,2,48,48,1.0,1,22,38,0.020833333333333332,0.020833333333333332,0.35546732676760256,0.17825578045014107,26
claude-opus-4.6,00b8f8,3,48,48,1.0,1,21,39,0.015625,0.0,0.3529213399926706,0.17483777078694981,22
claude-opus-4.6,00d34f,1,35,35,1.0,1,18,14,0.29714285714285715,0.0,0.22245127877486212,0.29849089823063385,17
claude-opus-4.6,00d34f,2,35,35,1.0,1,22,12,0.23346938775510204,0.0,0.23121153844521705,0.288563790563698,26
claude-opus-4.6,00d34f,3,35,35,1.0,1,21,11,0.29714285714285715,0.0,0.24044448635892687,0.2971766464304917,18
claude-opus-4.6,00d37d,1,42,42,1.0,1,21,21,0.18707482993197277,0.0,0.244494016824622,0.2782668257336021,15
claude-opus-4.6,00d37d,2,42,41,0.9761904761904762,2,20,20,0.07482993197278912,0.0,0.20820363309622414,0.299699395880533,17
claude-opus-4.6,00d37d,3,42,42,1.0,1,19,21,0.1349206349206349,0.0,0.23559689236407594,0.2848821214629863,17
claude-opus-4.6,00ee0c,1,45,45,1.0,1,18,17,0.13135802469135802,0.0,0.2659573900709159,0.26786361003362685,14
claude-opus-4.6,00ee0c,2,48,48,1.0,1,20,19,0.12152777777777779,0.0,0.27041754943358737,0.27616043042647026,14
claude-opus-4.6,00ee0c,3,45,45,1.0,1,19,17,0.18469135802469136,0.0,0.26920587376418037,0.2666457399196243,11
claude-opus-4.6,00f742,1,40,40,1.0,1,20,14,0.7200000000000001,0.0,0.23011939835659226,0.2351902155702911,25
claude-opus-4.6,00f742,2,40,40,1.0,1,23,19,0.50375,0.0,0.23179678600015144,0.25782697686626976,32
claude-opus-4.6,00f742,3,40,40,1.0,1,30,21,0.45499999999999996,0.0,0.24364933818912787,0.23293722330276026,28
claude-opus-4.6,00fcd9,1,42,42,1.0,1,21,12,0.12698412698412698,0.0,0.17863125981789127,0.25950109664700405,14
claude-opus-4.6,00fcd9,2,46,46,1.0,1,31,13,0.036862003780718335,0.0,0.23504494200834253,0.2622162774914526,14
claude-opus-4.6,00fcd9,3,45,45,1.0,1,31,12,0.057777777777777775,0.0,0.2345007831201223,0.25134000777069465,16
claude-opus-4.6,012baa,1,45,45,1.0,1,12,18,0.027654320987654323,0.0,0.14889302481817662,0.24236837181101206,12
claude-opus-4.6,012baa,2,46,46,1.0,1,14,18,0.02268431001890359,0.0,0.1512034286750806,0.24628566739092392,13
claude-opus-4.6,012baa,3,45,45,1.0,1,13,18,0.02567901234567901,0.0,0.14807943147071898,0.24236837181101206,13
claude-opus-4.6,0136d8,1,44,44,1.0,1,23,29,0.1410123966942149,0.0,0.3282485452184312,0.19121998495091486,22
claude-opus-4.6,0136d8,2,45,45,1.0,1,25,28,0.16296296296296295,0.0,0.32207383556500757,0.19193929081359215,20
claude-opus-4.6,0136d8,3,45,45,1.0,1,25,32,0.10666666666666667,0.0,0.3252209884955531,0.19022975062984065,24
claude-opus-4.6,013aca,1,45,45,1.0,1,30,20,0.5051851851851852,0.0,0.2632193846289525,0.24488384749801712,45
claude-opus-4.6,013aca,2,45,45,1.0,1,28,21,0.3358024691358024,0.0,0.2639159986074881,0.2589688956011684,45
claude-opus-4.6,013aca,3,43,43,1.0,1,28,21,0.329367225527312,0.0,0.26692994484883814,0.2603716609749068,25
claude-opus-4.6,014b22,1,44,44,1.0,1,20,23,0.14979338842975207,0.0,0.18159005574950254,0.297969367220278,12
claude-opus-4.6,014b22,2,46,44,0.9565217391304348,2,21,24,0.14177693761814744,0.0,0.1830708437666389,0.3049631202717764,12
claude-opus-4.6,014b22,3,45,45,1.0,1,18,24,0.14123456790123454,0.0,0.17277631296270812,0.28573872205907025,13
claude-opus-4.6,016f77,1,40,40,1.0,1,18,19,0.13999999999999999,0.0,0.17914222701529642,0.2646204829562519,20
claude-opus-4.6,016f77,2,40,40,1.0,1,23,21,0.328125,0.0,0.2463827053589598,0.25234388738386354,19
claude-opus-4.6,016f77,3,42,42,1.0,1,20,19,0.21541950113378683,0.0,0.21437683247929304,0.2567894396709698,18
claude-opus-4.6,0186f0,1,41,41,1.0,1,15,19,0.5121951219512195,0.0,0.16499058073451475,0.22562412610794755,26
claude-opus-4.6,0186f0,2,45,45,1.0,1,21,21,0.4019753086419753,0.0,0.18661904154363956,0.2391325888743071,25
claude-opus-4.6,0186f0,3,42,42,1.0,1,20,21,0.31746031746031744,0.0,0.17409825984665284,0.24468557731511625,27
claude-opus-4.6,018c0a,1,44,44,1.0,1,21,27,0.4643595041322314,0.0,0.19711490859415642,0.23923647487181152,41
claude-opus-4.6,018c0a,2,44,44,1.0,1,23,28,0.5289256198347108,0.0,0.2119345905253718,0.2389318516901129,44
claude-opus-4.6,018c0a,3,45,45,1.0,1,22,27,0.554074074074074,0.0,0.20045011078465447,0.22866072770605303,43
claude-opus-4.6,0197c7,1,42,42,1.0,1,23,22,0.5096371882086168,0.0,0.22234130879432162,0.25782504307081405,24
claude-opus-4.6,0197c7,2,42,42,1.0,1,21,20,0.39795918367346944,0.0,0.22037794787432124,0.24759626726714976,20
claude-opus-4.6,0197c7,3,40,40,1.0,1,22,22,0.47125,0.0,0.21216974336601344,0.248044350872984,14
claude-opus-4.6,01ca85,1,40,40,1.0,1,18,17,0.005000000000000001,0.0,0.17374977517971066,0.26393847649594404,21
