model,category,CC_mean_mean,CC_mean_std,SIM_mean_mean,SIM_mean_std,KL_mean_mean,KL_mean_std
claude-opus-4.6,desktop,0.3984745042326983,0.13749734121741783,0.44556824365969805,0.07351744017084695,1.2257299765672987,0.45571556026964605
claude-opus-4.6,mobile,0.23639514885563262,0.22018838245176722,0.3536507862179376,0.1276117513863586,2.541659331898142,1.1982888506445895
claude-opus-4.6,poster,0.38858253848784796,0.16525935134751082,0.42290527738001915,0.09811710906526579,1.3326702513931468,0.4891472724099658
claude-opus-4.6,web,0.2857045627692788,0.24055316587271855,0.3399341581532431,0.1238975540072181,2.2571284406610745,1.2892689041804621
claude-sonnet-4.6,desktop,0.29681070552886063,0.1898376714225196,0.4003795579379313,0.08785863296234366,1.4174280826917882,0.4684815774002155
claude-sonnet-4.6,mobile,0.1388389851779422,0.17511126352457815,0.284824609613226,0.10989412315736548,3.6121706210340285,1.5156693092373568
claude-sonnet-4.6,poster,0.3024929266916749,0.1670018318302455,0.3796096338953234,0.106960006716806,1.9634784586834855,1.2371353768171274
claude-sonnet-4.6,web,0.13889978567463,0.16188928039951933,0.27525537172741177,0.10218635482140445,2.827457086463693,1.444370687621741
gemini-3.1-flash-lite,desktop,0.15884146257995926,0.2369938133837888,0.27526850605516806,0.16427116217328774,4.087648352333769,3.687980566513703
gemini-3.1-flash-lite,mobile,0.038593898973011895,0.20445896389388363,0.10961578852918377,0.1742496439361821,7.763548878490906,3.36773970707965
gemini-3.1-flash-lite,poster,0.18024884903576116,0.2635623910542107,0.2742262723098166,0.20471441692935827,5.029507897475587,4.354776615163825
gemini-3.1-flash-lite,web,0.04148506545736923,0.16625247193201567,0.13264675392738698,0.14585531398484877,7.441539091779312,3.7824648548078987
gemini-3.1-pro,desktop,0.20161145502720884,0.2324181450480899,0.29569344313205226,0.17802050958417412,4.403332244484966,3.562646371032372
gemini-3.1-pro,mobile,0.23259881914371094,0.19273638827873324,0.30232400009881816,0.13840145167585205,3.7777192450618586,2.3312973127101153
gemini-3.1-pro,poster,0.14751527441803158,0.17793398319703385,0.1961318336325045,0.1467439755648877,6.179410396459745,3.3678300268408683
gemini-3.1-pro,web,-0.014643434524608062,0.08468873401555638,0.08479409191524764,0.0675948838563997,7.980606100417573,2.5868337201119167
gpt-5.4,desktop,0.42518513088057597,0.12343331473816307,0.44859041157375656,0.06605717922770378,1.1327384475850102,0.37915250953452456
gpt-5.4,mobile,0.26596678389687617,0.13563127649936543,0.37540969416284853,0.06775724801603679,2.3489748843469394,1.025614289718254
gpt-5.4,poster,0.40100510015947133,0.13123036977923758,0.43709312471896766,0.08405685019995267,1.409979158038544,0.5084217027905468
gpt-5.4,web,0.22534851668239644,0.18479494000446706,0.3202060917479178,0.08115624663728074,2.009507114834228,0.6948576302445104
gpt-5.4-mini,desktop,0.29342799466841885,0.1574184199819764,0.3910113765568194,0.058702563627256024,1.3798174977408981,0.3620230553468987
gpt-5.4-mini,mobile,0.18187613224896487,0.1340997597269463,0.33435715682160894,0.07869197681479043,2.56725322865386,0.9883086985816913
gpt-5.4-mini,poster,0.31998305524810033,0.11024811464552971,0.3907165548028006,0.07906101730258278,1.721608467490946,0.7290667952031467
gpt-5.4-mini,web,0.19696057476530837,0.12126419013111292,0.30517021558756063,0.08086698098652195,2.030620618118433,0.7646872946596676
qwen-3.5-plus,desktop,0.35203640784982526,0.19152193103449486,0.42896125251702005,0.07366066032842994,1.2492603413635655,0.37568685740043317
qwen-3.5-plus,mobile,0.30743968573926667,0.10096205178237126,0.4028295417488351,0.04727754150757728,1.9766295574350845,0.7202387459079842
qwen-3.5-plus,poster,0.4579918720982695,0.14142547191516586,0.45067365283482425,0.08843404735723956,1.3051441838518032,0.5409979162560408
qwen-3.5-plus,web,0.29946267647737235,0.19256571878642081,0.3545176910435357,0.09656737803961266,1.6622663207825852,0.510053002065235
