model,category,CC_mean_mean,CC_mean_std,SIM_mean_mean,SIM_mean_std,KL_mean_mean,KL_mean_std
claude-opus-4.6,desktop,0.310642949993416,0.12654397025714656,0.33159096729123994,0.08296210593641644,1.5886867244437206,0.35361654376755497
claude-opus-4.6,mobile,0.1644501400764592,0.1674602969619323,0.2756827044753497,0.09653555209500589,3.3473558813561937,1.2140835810913404
claude-opus-4.6,poster,0.2239519876472027,0.09839376128893422,0.29482724306668273,0.06314173843707822,2.0195602052573305,0.5433483104376443
claude-opus-4.6,web,0.1900351742939694,0.19012291327154968,0.26470377845180665,0.09896581681237507,2.8324819431388075,1.1870420356899243
claude-sonnet-4.6,desktop,0.26217409025816074,0.1662967630360037,0.30316738987341524,0.08946602638027036,1.7908108702672028,0.5968613503784517
claude-sonnet-4.6,mobile,0.06101959115924473,0.12444820487520916,0.20771428086929583,0.0818748830870778,4.508644591651036,1.8172455225012938
claude-sonnet-4.6,poster,0.15253986044762086,0.07732631778825329,0.2548733702104934,0.05590731314946751,2.754889251012581,1.175673162235157
claude-sonnet-4.6,web,0.07535876505905867,0.1274201566093641,0.21101945207996753,0.08063944116248552,3.2749793409948635,1.2779928259113158
gemini-3.1-flash-lite,desktop,0.12066123205137727,0.16684625296302558,0.19961866510249016,0.13168414406520246,4.722091792506821,3.7195856552916626
gemini-3.1-flash-lite,mobile,0.002130358359522323,0.11833340456034289,0.08381634627143467,0.13550185321761127,8.410358868840783,3.105438149091868
gemini-3.1-flash-lite,poster,0.07918251997815376,0.12889359999868175,0.18867313840500555,0.1271885382320804,5.746490541198924,4.125067149747755
gemini-3.1-flash-lite,web,0.008866094714113754,0.09069180078159864,0.10124812444997873,0.10307230592887345,7.818695760209745,3.423503664344077
gemini-3.1-pro,desktop,0.16869685293267173,0.17412213549095604,0.2186857871041692,0.12861713694861923,4.696492463284338,3.4654548000894905
gemini-3.1-pro,mobile,0.12024101266186979,0.1224622638323514,0.21161643867001714,0.09966686917645383,4.888857082218604,2.3461537903888474
gemini-3.1-pro,poster,0.09004829088534846,0.12611514834006135,0.13932849595065394,0.10320168071519355,6.722608546223863,3.2122735284336486
gemini-3.1-pro,web,-0.033190943006240314,0.06562922724001989,0.06955211353216945,0.057890286613437925,8.397051861258712,2.380023679816323
gpt-5.4,desktop,0.31881780191278264,0.12215685073316188,0.3232974669314309,0.08037513442225876,1.6880740729066896,0.5281661119314489
gpt-5.4,mobile,0.14490040177309652,0.1599099010022719,0.27169585349569136,0.0984370719581935,3.377578889907005,1.5869915613892132
gpt-5.4,poster,0.22224174864353424,0.10056369336282878,0.2973556544356434,0.0651528408264841,2.357886141358235,0.9237441650629497
gpt-5.4,web,0.1548883922103064,0.10992401809391825,0.2563619203981468,0.06171107789876681,2.441544812036136,0.539512041905812
gpt-5.4-mini,desktop,0.2307030294212177,0.1202939880510751,0.2885565456193353,0.07136837952925253,1.8709463440536371,0.5560519198631344
gpt-5.4-mini,mobile,0.10218483370810141,0.11780899279240536,0.2532910458777929,0.0699864032927894,3.3071632178380455,1.1663377614725714
gpt-5.4-mini,poster,0.18336235513843088,0.060522705215466294,0.2694094103815058,0.0474681748317141,2.5438242902612944,1.0214596754355838
gpt-5.4-mini,web,0.12562237488299652,0.10310729057234096,0.23537009329873398,0.0706250046209283,2.534773462406829,0.8640912265575873
qwen-3.5-flash,desktop,0.20232740035184751,0.09655596778652496,0.2842800301374194,0.06672272231842373,2.156283047265022,0.6687478059946286
qwen-3.5-flash,mobile,0.1027913720010761,0.11138816507197491,0.23281687439137602,0.06408006511200418,4.414495110308861,1.5688468028143299
qwen-3.5-flash,poster,0.12153264862092598,0.10463636171516888,0.22364160150985496,0.07406861534182954,3.9792046713083793,2.0810507073512943
qwen-3.5-flash,web,0.09222978591182045,0.10144533429577411,0.21947680744531456,0.049700515454875964,3.1248751195828883,0.791876757183131
qwen-3.5-plus,desktop,0.29292808653459057,0.12543764249297287,0.31746100298041774,0.07419808964186417,1.7456736931793895,0.5072856792114129
qwen-3.5-plus,mobile,0.16967180651189914,0.09841985412564891,0.29086349553946855,0.08048986342035698,3.0600511936592216,1.3675041471880494
qwen-3.5-plus,poster,0.23805584025419754,0.1032486052198908,0.29141706456947325,0.043283717208887344,2.305714596940074,0.8958068974466492
qwen-3.5-plus,web,0.19145288880977734,0.12380738001923579,0.2717806258636546,0.05976683856848551,2.2206467041801328,0.5528716114695295
ui-tars-1.5,desktop,0.09982461235738062,0.14696488147526754,0.14008448445528607,0.13472485993080136,8.213005639569099,3.1591138357278896
ui-tars-1.5,mobile,0.0577443726470442,0.16555327633458788,0.06628058457456405,0.12808303550636319,9.145376129913831,1.9431397442734781
ui-tars-1.5,poster,0.18123809883996495,0.15499197390122557,0.23156286149651845,0.10940895391267853,5.065557866561501,2.54099079134255
ui-tars-1.5,web,0.09697018225395768,0.14129829988062975,0.13252181360844092,0.11550590892441906,7.673839899437661,2.787752376576916
