duration,category,CC,CC_sb,CC_partial,SIM,KL
1s,desktop,0.5743499899221527,0.7037905971458049,0.4710145171193684,0.48179557081927366,2.2739248034418833
1s,mobile,0.40914242998246286,0.5433299915409954,0.3271321013555053,0.3446649546770549,3.882355194980926
1s,poster,0.4668112596768175,0.5932751124546949,0.37126166084193685,0.4073841677758171,3.1998557838768567
1s,web,0.48825980050969486,0.6237140133878739,0.3730466599229865,0.42718429756515297,2.744057508251938
3s,desktop,0.69775154841383,0.8085756100877308,0.6311720433674866,0.6053628431232342,1.1443678070847243
3s,mobile,0.577508344526291,0.7117425317932747,0.49693946217104884,0.50205589303043,1.9051369695799314
3s,poster,0.6346775716334266,0.7530192318513751,0.5688593216852156,0.5511790579330094,1.6623231387904667
3s,web,0.6396746822755028,0.7605888537533092,0.5513584319387327,0.5602809337315475,1.4722371368155742
7s,desktop,0.7464918757026585,0.8463888860812793,0.7028728727495825,0.6823265594191404,0.6032249154793585
7s,mobile,0.6366833262941801,0.7642102852887774,0.5778869983347324,0.5833254056048331,1.1403026994008352
7s,poster,0.6609979948917643,0.7765002084568441,0.6139307529318365,0.6237114139955307,1.011089839956204
7s,web,0.6799068591163233,0.7973615306452002,0.6131842568181838,0.6395549113703972,0.772019035916213
