duration,category,image_id,CC,CC_sb,CC_partial,SIM,KL
1s,desktop,003eb9,0.7403297296795011,0.8472169014347173,0.5732465607724925,0.577793360673706,1.3758868991686117
1s,desktop,009d6b,0.6299587865284038,0.7709037991038724,0.546990312665842,0.5654837259789872,1.3472145136226588
1s,desktop,00b3a0,0.5131576007018963,0.67063332931617,0.42689295898166935,0.4534872183689534,1.9656139034192486
1s,desktop,00b8f8,0.32737874202776684,0.472604117448428,0.09713466089107045,0.36887125926946934,3.044670990474202
1s,desktop,0136d8,0.3055355282595301,0.4590658901083076,0.20018182868499917,0.40044781832782794,2.5471827361337143
1s,desktop,030bb3,0.6433293596830196,0.7808204521197303,0.5596649716728044,0.5039978402070886,1.7558424123246266
1s,desktop,03474c,0.3008626857782145,0.44030663853455654,0.04433637779093174,0.3848595563969711,2.2247804921163032
1s,desktop,037d19,0.471576104418279,0.6338162143783732,0.29165096118336964,0.46133176007551624,2.21261678692868
1s,desktop,038d71,0.8433693119981633,0.9144327734022353,0.8248596566865055,0.6735079137737514,1.0642421813828633
1s,desktop,045f81,0.62498148196042,0.7614126713865781,0.4301389567288155,0.5092083792155538,1.4749527938467313
1s,desktop,0529f2,0.4614453941200152,0.6308780877877969,0.24074699438619596,0.43219472780941004,2.4704817475637753
1s,desktop,056cfb,0.20522463213018102,0.2918123515185491,-0.05861839347990019,0.3109126197565581,3.270080296931537
1s,desktop,0632d7,0.2933147041520228,0.44220851948394896,0.08264066297894349,0.348439958395257,2.568338656180763
1s,desktop,0720ce,0.6167801580435623,0.7621634827361534,0.4554528990185906,0.4987175945903779,1.9494711875117665
1s,desktop,072634,0.698323021646168,0.8206079646301465,0.6085726811791213,0.5229964621398528,2.1796991235482883
1s,desktop,075286,0.7793651431656301,0.8708602948597826,0.7447266648365931,0.5932929220442082,1.5457129969679633
1s,desktop,07950c,0.9247823147807803,0.9608298831375407,0.9263460832524038,0.6520997403440378,1.9493072429484717
1s,desktop,07b304,0.7175962308365678,0.8350244733064377,0.6542230096887756,0.588149269639945,1.5718630265688807
1s,desktop,08a5d7,0.6910027986979026,0.8159309946308889,0.6571570565203186,0.5254182769769086,1.5423125486997562
1s,desktop,08d1eb,0.4066582899959291,0.5564240349039048,0.2205730940726796,0.424334858791771,3.357461415201122
1s,desktop,09bb5b,0.3466139031355573,0.5120368161674802,0.020382054291285374,0.4251722854373912,1.8315891369644461
1s,desktop,0b777c,0.5246573726644974,0.6834482974488267,0.2555524643124235,0.46626433271828843,2.141846406759317
1s,desktop,0c51af,0.2561246258132138,0.3833391673203524,0.0947514720588767,0.3280739182113413,4.110343620632735
1s,desktop,0db596,0.8405397714759844,0.9126926317489821,0.8067188935101285,0.5877063599298138,1.8477126632664418
1s,desktop,0dbd98,0.7253721426244187,0.8383304657934488,0.6253171790787041,0.549388506909755,1.521121577535578
1s,desktop,0e1c44,0.6898045288453278,0.8161417561789316,0.6423997258507576,0.48321041663270015,2.262991544860502
1s,desktop,0e1dea,0.5331891865025679,0.6923988993458717,0.3552528238349477,0.5077182666093729,1.9127149417482479
1s,desktop,0eb2be,0.7442884238810665,0.8529302179303851,0.6996852357901902,0.5089237151342186,2.849359719642181
1s,desktop,0eef1f,0.5470467305817817,0.7054514034682476,0.4809548712944308,0.48650567420883456,2.5256051406788997
1s,desktop,0ef9b2,0.05536214794999337,0.10334851030898021,0.050150590845623524,0.1452520928221091,5.521929376358211
1s,desktop,0f1984,0.7660680117539731,0.8669434767866914,0.7122869014957766,0.5186871891667497,2.5219494400377167
1s,desktop,0f85bd,0.200217630140054,0.3312254675342971,0.07948443645307245,0.3010184491066938,2.720589182570584
1s,desktop,0ff0be,0.695037468080406,0.8179870435074316,0.6644980754182354,0.44194777356245085,3.0577014009084316
1s,desktop,10298c,0.5365121700624633,0.697659127750885,0.3222228349287336,0.5472383487948986,1.268622372445008
1s,desktop,10579e,0.4861549920793567,0.653437069513737,0.2638229044437712,0.4811240418818522,1.7503647947740812
1s,desktop,111cd2,0.3959423310221545,0.5367125929327375,0.24429154085534716,0.4236280006336804,3.1535668897063234
1s,desktop,11412e,0.5124331489038092,0.6728978463177014,0.39279621701627965,0.48475857759003693,1.8118749556687703
1s,desktop,11482d,0.3950463036570992,0.5643559359064158,0.3459780867705282,0.29975254114676836,4.087631441118513
1s,desktop,11f8c6,0.6563357847737965,0.7919502236585287,0.5494233224885677,0.5085460457570102,2.587959147031154
1s,desktop,13349c,0.5529173375368052,0.7007820197250549,0.361259262369871,0.5120788724940264,1.3573128110334651
1s,desktop,13bd83,0.6641883568691653,0.7974965645860081,0.505549009644503,0.5209908648379206,1.65280995281286
1s,desktop,1411d0,0.7378009356054734,0.8466638580619961,0.7070632093636003,0.5232484539342006,2.1819636098537316
1s,desktop,147ff4,0.82989931063524,0.906271826951721,0.7667890583384337,0.6291199115575139,1.2502155723642208
1s,desktop,14c026,0.488371082330098,0.6538973783825731,0.40055035826565283,0.3683620045621986,4.63352022722448
1s,desktop,15ac57,0.756503049415175,0.860261546726098,0.7452255230066065,0.6175244271441287,0.7938129899707592
1s,desktop,163ce0,0.14570467978224164,0.2520378091705838,0.03855542700430784,0.23543438363006533,3.739106950552144
1s,desktop,1655e9,0.736971557163424,0.8477798947208915,0.6405593433299137,0.5399008049470615,1.6180376644818737
1s,desktop,16830b,0.9162830958618795,0.9561881273195315,0.911352244021294,0.655051969658347,1.313823177519543
1s,desktop,16a13e,0.7744162885336441,0.871876868515351,0.7095357396798049,0.5447380659771002,2.1782891507893822
1s,desktop,16d9d5,0.6407445025934029,0.7804814393470295,0.5587043584478588,0.4584276715881015,1.824926763722205
1s,desktop,179165,0.5961709541636468,0.7456409218489013,0.3479417597588984,0.5571963638365272,1.3743189798368376
1s,desktop,18177f,0.5983674028648522,0.7467117547466,0.49526410233419804,0.49632098074987285,2.2147995069858206
1s,desktop,182715,0.7291532723404602,0.842643516760831,0.7132581075043609,0.5041062978572249,2.2247201802146104
1s,desktop,1a03d5,0.7701011962380508,0.8673999079322483,0.6361893156919723,0.6101597003672646,1.0993389858037523
1s,desktop,1a3e47,0.8530195011584449,0.9181757968394857,0.8528224387374239,0.6760572426763545,0.5799293239334916
1s,desktop,1a9f12,0.16371679515071139,0.2742735920022914,0.11766972056728275,0.30467211685811896,3.5167025111297243
1s,desktop,1b436f,0.3649267101245123,0.5330843233273683,0.3444526550593956,0.4198463963004711,2.4244399527232785
1s,desktop,1b984b,0.5499134346756158,0.7058084370531139,0.44381281163230024,0.512131758902598,1.6080383273546281
1s,desktop,1bf5c6,0.7165968532507542,0.831773784756136,0.6335329077716528,0.567868874618484,1.9291347399433758
1s,desktop,1c381f,0.4467171474072423,0.6135395644180281,0.31960488034201795,0.44147803060678825,2.214868864987008
1s,desktop,1ce5f5,0.5329080923133621,0.6881339393889029,0.3178411984697549,0.44913897711574846,2.7217291060730466
1s,desktop,1d0e96,0.717325011545866,0.8316152674102766,0.5759354721632628,0.5713909032765121,1.3475783610586498
1s,desktop,1dd3f0,0.09750690115494969,0.17448232725168128,-0.17560003386784626,0.29754555706142727,3.3464803510746166
1s,desktop,1e27b2,0.35308789518450173,0.518833452103913,0.20737294712260373,0.3643293909726609,2.880347328282748
1s,desktop,1ed970,0.3096984630267897,0.46954891047138014,0.1887167410774881,0.33589927889176074,3.115747213930679
1s,desktop,1f1fff,0.9086094135881648,0.9519603827517706,0.8833160952710735,0.713336067417643,0.5869239318192407
1s,desktop,1f3437,0.8355683805212661,0.9097198329922398,0.8127630071288652,0.5827767022984537,2.307640329432804
1s,desktop,1fdbf2,0.6149842800164433,0.7480443813329497,0.4709390250847346,0.5578425877932333,1.1799786139092174
1s,desktop,2021b7,0.5827063994957005,0.7028759789535883,0.5243619153095487,0.5136228125897755,1.9188385134452814
1s,desktop,20beb4,0.6322454928006375,0.7724991633733993,0.5021021388341247,0.5072287187317909,1.8242081202356466
1s,desktop,210e46,0.8829458692203659,0.937661403391154,0.842850552213925,0.6109944387485914,1.3221058224061737
1s,desktop,217749,0.8065868831887384,0.8903198534537532,0.768076826394035,0.5440939453333962,2.01312684780342
1s,desktop,221587,0.7556467179988475,0.85952277553572,0.6202215966214173,0.5505487219260072,2.1371233066174233
1s,desktop,229d89,0.663435702081973,0.796870931590728,0.6830432078203311,0.46746484933955423,3.5997097329173235
1s,desktop,22dd48,0.7677541646615776,0.8613187640245563,0.7467878498974138,0.6013313832668639,1.0218524475050808
1s,desktop,237216,0.44586480442540033,0.6140787200858593,0.24429994220067303,0.4492336293859096,1.7837769377623853
1s,desktop,244817,0.3019898849083348,0.45728728168986266,0.2683391803899241,0.3300601487227179,3.7283233153115503
1s,desktop,244dfc,0.44884618967230194,0.6185063351914796,0.3436742386963082,0.4026076243379224,3.2469967058183755
1s,desktop,24f619,0.6285027811360411,0.7694948815917736,0.5872799087713737,0.5704283922795473,1.5230417349637928
1s,desktop,256121,0.8641205151913771,0.9265205164578104,0.8288000035203705,0.6797667642324019,0.8108772619747103
1s,desktop,256ef1,0.7018916476584283,0.8228392083784277,0.4955437756862212,0.6156518032294434,1.1241286421215608
1s,desktop,25e2f5,0.22929009878288156,0.36196831509181493,0.1183905918234142,0.3364921460896678,2.677643239629765
1s,desktop,2675a8,0.7500422203022471,0.8525295850932106,0.6828108097387183,0.5831268297522976,1.2551618606189876
1s,desktop,27e29a,0.42739249913585386,0.5658759544294126,0.33013553411266683,0.3900959505405705,3.3533313172672883
1s,desktop,27f3f7,0.3451478320901519,0.5094106298614096,0.2237460065959564,0.394893635299047,2.6988702213746043
1s,desktop,285c1c,0.8309681297745183,0.9064822093342709,0.7863356147509359,0.647317712244701,1.136978871987439
1s,desktop,286b3f,0.7945838364633523,0.8850617954658878,0.7821965861709514,0.5982452019400527,1.384989120600597
1s,desktop,286cb0,0.29137323659717723,0.43775873436734275,0.20125559325479186,0.44348128208263454,1.6363040683680226
